adref,created,salary_max,longitude,salary_min,id,description,latitude,redirect_url,title,salary_is_predicted,contract_time,__CLASS__,location.display_name,location.__CLASS__,location.area,company.__CLASS__,company.display_name,category.tag,category.__CLASS__,category.label,contract_type
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTg0OSIsInMiOiJEUFpEOEhGUThSRzdyYTAzdnBraTdRIn0.wKYi50MZguSj_nSuEOHY33so9uaPzv8e1q3j_ycevgA,2026-05-15T09:37:27Z,63419.86,-104.969836,63419.86,5730411849,"Hourly Wage Estimate: $39.00 - $57.00 / hour Learn more about the benefits offered for this job. The estimate displayed represents the typical wage range of candidates hired. Factors that may be used to determine your actual salary may include your specific skills, how many years of experience you have and comparison to other employees already in this role. The typical candidate is hired below midpoint of the range. Strong staffing Support when it matters most. Technology and tools that streaml…",39.731696,https://www.adzuna.com/land/ad/5730411849?se=DPZD8HFQ8RG7ra03vpki7Q&utm_medium=api&utm_source=abfa41a4&v=3786A5CBB691D6E083AA99F3771AE98605A5680B,Registered Nurse (RN) - Hiring Now!,1,,Adzuna::API::Response::Job,"Glendale, Denver",Adzuna::API::Response::Location,"['US', 'Colorado', 'Denver', 'Glendale']",Adzuna::API::Response::Company,HCA HealthONE Presbyterian St. Luke's,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExODUxIn0.L7SNo17mDzxa4ockyF0U5C4HEJ0tVm6W96s5EJRZKj8,2026-05-15T09:37:27Z,73030.41,-104.96988,73030.41,5730411851,"Hourly Wage Estimate: $36.50 - $55.25 / hour Learn more about the benefits offered for this job. The estimate displayed represents the typical wage range of candidates hired. Factors that may be used to determine your actual salary may include your specific skills, how many years of experience you have and comparison to other employees already in this role. The typical candidate is hired below midpoint of the range. As a Registered Nurse NICU II, your voice to influence patient care is valued a…",39.8502,https://www.adzuna.com/land/ad/5730411851?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=B6ED754F64FE38C438A6DC7E05A729FB6B9B8BB6,Registered Nurse NICU II,1,,Adzuna::API::Response::Job,"Welby, Adams County",Adzuna::API::Response::Location,"['US', 'Colorado', 'Adams County', 'Welby']",Adzuna::API::Response::Company,HCA HealthONE Mountain Ridge,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExODUwIn0.3fPK7wkYbMcOcTyk_RZOskMDzXnf7NRAx0iW-y6kPWU,2026-05-15T09:37:27Z,75835.55,-104.969836,75835.55,5730411850,"Hourly Wage Estimate: $43.57 - $62.29 / hour Learn more about the benefits offered for this job. The estimate displayed represents the typical wage range of candidates hired. Factors that may be used to determine your actual salary may include your specific skills, how many years of experience you have and comparison to other employees already in this role. The typical candidate is hired below midpoint of the range. $20,000 Sign On Bonus Available to Eligible New Hires Strong staffing Support w…",39.731696,https://www.adzuna.com/land/ad/5730411850?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=E442C12F14410AEEE73A0F6A54FCF4BE7020F6BC,Clinical Nurse Coordinator Operating Room,1,,Adzuna::API::Response::Job,"Glendale, Denver",Adzuna::API::Response::Location,"['US', 'Colorado', 'Denver', 'Glendale']",Adzuna::API::Response::Company,HCA HealthONE Presbyterian St. Luke's,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExODQ0In0.zWLSMzS4lI0vYRr3JEHi2b6W285YvNFhfvAUKGsee68,2026-05-15T09:37:25Z,125204.45,-104.96988,125204.45,5730411844,"Hourly Wage Estimate: $36.50 - $55.25 / hour Learn more about the benefits offered for this job. The estimate displayed represents the typical wage range of candidates hired. Factors that may be used to determine your actual salary may include your specific skills, how many years of experience you have and comparison to other employees already in this role. The typical candidate is hired below midpoint of the range. Stroke response times nearly half of the national average. Cutting-edge SPOT Te…",39.8502,https://www.adzuna.com/land/ad/5730411844?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=BCC748DA826416FDEB38CF336FDABA26BE941B03,Registered Nurse Labor and Delivery,1,,Adzuna::API::Response::Job,"Welby, Adams County",Adzuna::API::Response::Location,"['US', 'Colorado', 'Adams County', 'Welby']",Adzuna::API::Response::Company,HCA HealthONE Mountain Ridge,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExODI0In0.Hqih_cFO5gdzd6gtsVbOIcMnn0b0IvBpeYmVmaPYQ6E,2026-05-15T09:37:24Z,74415.58,-104.96988,74415.58,5730411824,"Hourly Wage Estimate: $36.50 - $55.25 / hour Learn more about the benefits offered for this job. The estimate displayed represents the typical wage range of candidates hired. Factors that may be used to determine your actual salary may include your specific skills, how many years of experience you have and comparison to other employees already in this role. The typical candidate is hired below midpoint of the range. As a Registered Nurse Labor and Delivery PRN, your voice to influence patient c…",39.8502,https://www.adzuna.com/land/ad/5730411824?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=FBE0FE049CB5BC0B4DA2EC7FDE94DBBE5DB2B93E,Registered Nurse (RN) - Hiring Now!,1,,Adzuna::API::Response::Job,"Welby, Adams County",Adzuna::API::Response::Location,"['US', 'Colorado', 'Adams County', 'Welby']",Adzuna::API::Response::Company,HCA HealthONE Mountain Ridge,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExODI2In0.SLIxH8BqYjuC08zhCU3Dl8rgTv7lq9cvFtcNTJXxk4g,2026-05-15T09:37:24Z,56312.89,-104.969836,56312.89,5730411826,"Hourly Wage Estimate: $43.57 - $62.29 / hour Learn more about the benefits offered for this job. The estimate displayed represents the typical wage range of candidates hired. Factors that may be used to determine your actual salary may include your specific skills, how many years of experience you have and comparison to other employees already in this role. The typical candidate is hired below midpoint of the range. $20,000 Sign On Bonus Available to Eligible New Hires Strong staffing Support w…",39.731696,https://www.adzuna.com/land/ad/5730411826?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=EF048F58F82574B4A7F7DBD7654E2E4FBD0925C7,Registered Nurse (RN) - Hiring Now!,1,,Adzuna::API::Response::Job,"Glendale, Denver",Adzuna::API::Response::Location,"['US', 'Colorado', 'Denver', 'Glendale']",Adzuna::API::Response::Company,HCA HealthONE Presbyterian St. Luke's,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTgxNiIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.kQ5eqhRLt0dA9_JK6okUGAJlXxAMU8v6IrSk4B4yncM,2026-05-15T09:37:24Z,74731.63,-104.96988,74731.63,5730411816,"Hourly Wage Estimate: $36.50 - $55.25 / hour Learn more about the benefits offered for this job. The estimate displayed represents the typical wage range of candidates hired. Factors that may be used to determine your actual salary may include your specific skills, how many years of experience you have and comparison to other employees already in this role. The typical candidate is hired below midpoint of the range. As a Registered Nurse NICU II, your voice to influence patient care is valued a…",39.8502,https://www.adzuna.com/land/ad/5730411816?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=17D959895CA1D4D32F398789ACEE9495E04D50EA,Registered Nurse (RN) - Hiring Now!,1,,Adzuna::API::Response::Job,"Welby, Adams County",Adzuna::API::Response::Location,"['US', 'Colorado', 'Adams County', 'Welby']",Adzuna::API::Response::Company,HCA HealthONE Mountain Ridge,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTgyNSIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.zqoi3b8EOXKPbuLZhrOnn5k40LbiRwgykzmuqfy3ZMQ,2026-05-15T09:37:24Z,68676.69,-104.96988,68676.69,5730411825,"Hourly Wage Estimate: $36.50 - $55.25 / hour Learn more about the benefits offered for this job. The estimate displayed represents the typical wage range of candidates hired. Factors that may be used to determine your actual salary may include your specific skills, how many years of experience you have and comparison to other employees already in this role. The typical candidate is hired below midpoint of the range. Stroke response times nearly half of the national average. Cutting-edge SPOT Te…",39.8502,https://www.adzuna.com/land/ad/5730411825?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=DD06CB7A0025616360FE4CDF5871A5BD2680B3A6,Registered Nurse (RN) - Hiring Now!,1,,Adzuna::API::Response::Job,"Welby, Adams County",Adzuna::API::Response::Location,"['US', 'Colorado', 'Adams County', 'Welby']",Adzuna::API::Response::Company,HCA HealthONE Mountain Ridge,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTgxOSIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.CqWFyIKr-kkB7s2GfFn34Wm3BF4upqdHq3qN4ABn8dY,2026-05-15T09:37:24Z,59344.1,-118.62,59344.1,5730411819,"The Store Manager oversees and is accountable for the total operation of a store ensuring maximum sales and profitability by establishing and maintaining Guest Services and, controlling expenses. The Store Manager is responsible for shrink, merchandising, inventory control, staffing, setup, pack-up and teardown of a seasonal store. The minimum age requirement is 21 and must have a flexible schedule. The physical demands of the job require 8 hours of standing/walking, climbing ladders, setting u…",34.49,https://www.adzuna.com/land/ad/5730411819?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=9C46E514E038D903190C5AB1AA75FD9576A740BF,Store Manager - Spirit,1,,Adzuna::API::Response::Job,"Santa Clarita, Los Angeles County",Adzuna::API::Response::Location,"['US', 'California', 'Los Angeles County', 'Santa Clarita']",Adzuna::API::Response::Company,Spirit Halloween,retail-jobs,Adzuna::API::Response::Category,Retail Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTgxMCIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.dpuwaq1Tad9Eyg_msFc3nxwGWNV8Iz3BQEG6TTWhywI,2026-05-15T09:37:23Z,102973.88,-104.969836,102973.88,5730411810,"Hourly Wage Estimate: $39.00 - $57.00 / hour Learn more about the benefits offered for this job. The estimate displayed represents the typical wage range of candidates hired. Factors that may be used to determine your actual salary may include your specific skills, how many years of experience you have and comparison to other employees already in this role. The typical candidate is hired below midpoint of the range. Strong staffing Support when it matters most. Technology and tools that streaml…",39.731696,https://www.adzuna.com/land/ad/5730411810?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=A04FF55372F94F1A2D0C7A48074991569EE6A687,Clinical Support Coordinator Operating Room RN,1,,Adzuna::API::Response::Job,"Glendale, Denver",Adzuna::API::Response::Location,"['US', 'Colorado', 'Denver', 'Glendale']",Adzuna::API::Response::Company,HCA HealthONE Presbyterian St. Luke's,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExNzY3In0.v_QkYc9uTfB7pv3qhns53PL-CCB3D0t_qPbNJ9fd1nU,2026-05-15T09:37:22Z,86450.29,-106.578128,86450.29,5730411767,"As the nation’s largest private employer of Registered Nurses, we’re honored by the trust of over 100,000 nurses and committed to supporting safe, high-quality care for which they can practice. That’s why more than 80% of our hospitals earn an A or B Leapfrog safety grade, rank in the top 5% nationally for patient outcomes through Health Grades, or are recognized as Magnet or Pathway to Excellence facilities. Join us! Job Summary and Qualifications The RN staff nurse provides direct nursing car…",31.799854,https://www.adzuna.com/land/ad/5730411767?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=9C3CEB6B0ACA7372CCFDA8AB4804B601DA2F8264,Registered Nurse Cath Lab,1,,Adzuna::API::Response::Job,"Sunland Park, Doña Ana County",Adzuna::API::Response::Location,"['US', 'New Mexico', 'Doña Ana County', 'Sunland Park']",Adzuna::API::Response::Company,Las Palmas Medical Center,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTc2MiIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.zMWbDeRH5XHNd3Oc8gkSgy-yMC2mmY1NTAAvqmjPyeg,2026-05-15T09:37:22Z,82554.16,-106.303315,82554.16,5730411762,"As the nation’s largest private employer of Registered Nurses, we’re honored by the trust of over 100,000 nurses and committed to supporting safe, high-quality care for which they can practice. That’s why more than 80% of our hospitals earn an A or B Leapfrog safety grade, rank in the top 5% nationally for patient outcomes through Health Grades, or are recognized as Magnet or Pathway to Excellence facilities. Join us! Job Summary and Qualifications The RN staff nurse provides direct nursing car…",31.654557,https://www.adzuna.com/land/ad/5730411762?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=09D15434815CFB696996919E5545538F34A7A0FF,Registered Nurse Cath Lab,1,,Adzuna::API::Response::Job,"Socorro, El Paso County",Adzuna::API::Response::Location,"['US', 'Texas', 'El Paso County', 'Socorro']",Adzuna::API::Response::Company,Las Palmas Medical Center,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTc2MyIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.y9f_t_dlNp0jgPqfDPKzOS-5awhWVRf-lNiojDNeH48,2026-05-15T09:37:22Z,121026.16,-106.4942,121026.16,5730411763,"As the nation’s largest private employer of Registered Nurses, we’re honored by the trust of over 100,000 nurses and committed to supporting safe, high-quality care for which they can practice. That’s why more than 80% of our hospitals earn an A or B Leapfrog safety grade, rank in the top 5% nationally for patient outcomes through Health Grades, or are recognized as Magnet or Pathway to Excellence facilities. Join us! Job Summary and Qualifications The RN staff nurse provides direct nursing car…",31.777324,https://www.adzuna.com/land/ad/5730411763?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=20F78EB8C46C0B9C5F595D7081621DBF421D67BE,Registered Nurse Cath Lab,1,,Adzuna::API::Response::Job,"El Paso, El Paso County",Adzuna::API::Response::Location,"['US', 'Texas', 'El Paso County', 'El Paso']",Adzuna::API::Response::Company,Las Palmas Medical Center,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExNzYxIn0.lupS1GFIdTujzadjf6xObJNlRwPZ4kKEUDiQnKoMFDY,2026-05-15T09:37:21Z,89245.4,-106.207479,89245.4,5730411761,"As the nation’s largest private employer of Registered Nurses, we’re honored by the trust of over 100,000 nurses and committed to supporting safe, high-quality care for which they can practice. That’s why more than 80% of our hospitals earn an A or B Leapfrog safety grade, rank in the top 5% nationally for patient outcomes through Health Grades, or are recognized as Magnet or Pathway to Excellence facilities. Join us! Job Summary and Qualifications The RN staff nurse provides direct nursing car…",31.692612,https://www.adzuna.com/land/ad/5730411761?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=ECD959D915109BB4C68178B5953A95D1A68561C5,Registered Nurse Cath Lab,1,,Adzuna::API::Response::Job,"Horizon City, El Paso County",Adzuna::API::Response::Location,"['US', 'Texas', 'El Paso County', 'Horizon City']",Adzuna::API::Response::Company,Las Palmas Medical Center,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExNzUzIn0.byfhXDZiAgmnwArNSwe2ECLAtnk_zLTZYCDJTUot-2E,2026-05-15T09:37:19Z,95978.55,-83.649932,95978.55,5730411753,"PURPOSE OF THIS POSITION The purpose of the ER Tech I is to provide the necessary support staff that is needed to assist physicians and other healthcare providers in the Emergency Department. Under the supervision of the Director of Emergency Services, Clinical Manager or designated RN, assists the licensed staff as directed, responsible for the safe transportation of patients and maintains adequate supplies necessary for patient care. Implements the process of registration, complete all cleric…",41.04422,https://www.adzuna.com/land/ad/5730411753?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=BA53ED653506B088F529BF93E8A5C3B9008F1B17,ER Tech I,1,,Adzuna::API::Response::Job,"Findlay, Hancock County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Hancock County', 'Findlay']",Adzuna::API::Response::Company,Blanchard Valley Hospital,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExNzUxIn0.dwbhjL5SsVLK9LcYvlIKJX3dMSRlHBHGY5Fobvbikgg,2026-05-15T09:37:19Z,31436.33,-91.395169,31436.33,5730411751,"Maintenance Mechanic 12 hour shifts/6p-6a/2-2-3 schedule We are looking to add a team member to our production team to carry out our company mission of maintaining an inclusive culture of trust, honesty, humility, integrity, and candor in our dealings with others, ourselves, and our communities. • Premium Waters is committed to providing high quality bottled water in an environmentally friendly manner. • Our Teams focus on proactively supporting safety, understanding sustainability, and buildin…",39.942065,https://www.adzuna.com/land/ad/5730411751?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=6056CF20C42B75197D6BD478F41EEA73D19DABD6,Maintenance Mechanic,1,,Adzuna::API::Response::Job,"Quincy, Adams County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Adams County', 'Quincy']",Adzuna::API::Response::Company,Premium Waters Inc,trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExNzQyIn0.KM03WfrfDUNcehQ56vdueJ04IOGwW9UiskDFJcRSMRw,2026-05-15T09:37:17Z,66126.96,-97.6206,66126.96,5730411742,"Strong staffing Support when it matters most. Technology and tools that streamline patient monitoring and communication to help you work more efficiently. Robust supply chains to keep you fully equipped. Ongoing clinical education to improve your skills. As a Registered Nurse at St. David's Surgical Hospital, you’ll have all the staffing support, technology and resources you need to deliver safe, high-quality care—so you can focus on what you do best. Job Summary and Qualifications Position Det…",30.4383,https://www.adzuna.com/land/ad/5730411742?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=A48A8B5FB989222CBE2B89583DB5CBCCBC3721DD,Registered Nurse Ambulatory PRN,1,,Adzuna::API::Response::Job,"Pflugerville, Travis County",Adzuna::API::Response::Location,"['US', 'Texas', 'Travis County', 'Pflugerville']",Adzuna::API::Response::Company,St. David's Surgical Hospital,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTc0MSIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.uRha12CGM_Akz31HQbyDGac9G1o9MDb1_I_SGFYevNY,2026-05-15T09:37:17Z,87883.65,-81.379444,87883.65,5730411741,"Introduction Experience the HCA Healthcare difference where colleagues are trusted, valued members of our healthcare team. Grow your career with an organization committed to delivering respectful, compassionate care, and where the unique and intrinsic worth of each individual is recognized. Submit your application for the opportunity below: Registered Nurse RN Inpatient Rehab HCA Florida Osceola Hospital Job Summary and Qualifications - PRN AS NEEDED We are seeking a dynamic Rehab RN to join ou…",28.538056,https://www.adzuna.com/land/ad/5730411741?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=0E6AD76397B32363CA764CE5A74929656B915D9F,RN Med - Surg PRN,1,,Adzuna::API::Response::Job,"Orlando, Orange County",Adzuna::API::Response::Location,"['US', 'Florida', 'Orange County', 'Orlando']",Adzuna::API::Response::Company,HCA Florida Osceola Hospital,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTc0MCIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.1F5aQ_zB41OZ62E_nCRAp3KDCAo9r8HDPiobK1JUYNQ,2026-05-15T09:37:17Z,85485.33,-97.672068,85485.33,5730411740,"Strong staffing Support when it matters most. Technology and tools that streamline patient monitoring and communication to help you work more efficiently. Robust supply chains to keep you fully equipped. Ongoing clinical education to improve your skills. As a Registered Nurse at St. David's Surgical Hospital, you’ll have all the staffing support, technology and resources you need to deliver safe, high-quality care—so you can focus on what you do best. Job Summary and Qualifications Position Det…",30.517477,https://www.adzuna.com/land/ad/5730411740?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=46E9F74CA63A8E28928E98CC12775E879A55527C,Registered Nurse Ambulatory PRN,1,,Adzuna::API::Response::Job,"Round Rock, Williamson County",Adzuna::API::Response::Location,"['US', 'Texas', 'Williamson County', 'Round Rock']",Adzuna::API::Response::Company,St. David's Surgical Hospital,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTczNyIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.knGz1bw4_YsETvU1pnkkO8jnlfe6UCxuJnLfzQQKhmw,2026-05-15T09:37:16Z,65763.77,-86.870305,65763.77,5730411737,"Do you have the PRN career opportunities as a(an) Same Day Surgery Nurse PRN you want with your current employer? We have an exciting opportunity for you to join TriStar NorthCrest Medical Center which is part of the nation's leading provider of healthcare services, HCA Healthcare. Job Summary and Qualifications Position Details: Self/preferential scheduling posted four weeks in advance for you to have predictability in your schedule Culture of mutual respect and collaboration among all surgica…",36.500587,https://www.adzuna.com/land/ad/5730411737?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=3B6CB27725BFA23EEB319D4132E994F370B9BACA,Same Day Surgery Nurse PRN,1,,Adzuna::API::Response::Job,"Coopertown, Robertson County",Adzuna::API::Response::Location,"['US', 'Tennessee', 'Robertson County', 'Coopertown']",Adzuna::API::Response::Company,TriStar NorthCrest Medical Center,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMEhwajhYRlE4Ukc2bnBnRmR6YUxodyIsImkiOiI1NzMwNDExNzM2In0.HGQbpL5jTtkHO1kmWgnuC45KaQCeKFHd5Lv9TI4mdL0,2026-05-15T09:37:16Z,62714.06,-74.364642,62714.06,5730411736,"The Store Manager oversees and is accountable for the total operation of a store ensuring maximum sales and profitability by establishing and maintaining Guest Services and, controlling expenses. The Store Manager is responsible for shrink, merchandising, inventory control, staffing, setup, pack-up and teardown of a seasonal store. The minimum age requirement is 21 and must have a flexible schedule. The physical demands of the job require 8 hours of standing/walking, climbing ladders, setting u…",39.955304,https://www.adzuna.com/land/ad/5730411736?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=D53509A61EA6BD88072B5727DA8EF2457D717F24,Store Manager - Spirit,1,,Adzuna::API::Response::Job,"Manchester Township, Ocean County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Ocean County', 'Manchester Township']",Adzuna::API::Response::Company,Spirit Halloween,retail-jobs,Adzuna::API::Response::Category,Retail Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTczOSIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.-UaK4EVNJjgIYPIsNJdERFs_VcJCs_PkT9xWRrr9Wp8,2026-05-15T09:37:16Z,88237.46,-87.219171,88237.46,5730411739,"Introduction Do you have the PRN career opportunities as a(an) RN Free Standing ER Pine Forest PRN you want with your current employer? We have an exciting opportunity for you to join HCA Florida West Hospital which is part of the nation's leading provider of healthcare services, HCA Healthcare. Benefits HCA Florida West Hospital, offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available plans and programs include: Comprehensive medica…",30.525447,https://www.adzuna.com/land/ad/5730411739?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=D1A43499112CE38F33EBC117C16401B3B6BDED64,RN Free Standing ER Pine Forest PRN,1,,Adzuna::API::Response::Job,"Ensley, Escambia County",Adzuna::API::Response::Location,"['US', 'Florida', 'Escambia County', 'Ensley']",Adzuna::API::Response::Company,HCA Florida West Hospital,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,
eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTczMDQxMTczNSIsInMiOiIwSHBqOFhGUThSRzZucGdGZHphTGh3In0.vUuiRZxFYZtXiFMiRkIKNB8lz-lQ9yBV9Z0yh5c9wRc,2026-05-15T09:37:16Z,32929.82,-112.07,32929.82,5730411735,"Hourly rate ranges from $17.25 - $17.50 per hour and is dependent upon qualifications and experience. Benefits include: Arizona Paid Sick Time, Set-Up and Tear Down Premium Pay Programs, End of Season Premium Pay Program. All Bonus and Pay Programs subject to qualifications. The Assistant Store Manager supports the Store Manager in the staffing, setup, merchandising, pack-up and teardown of a Seasonal Store. The Assistant Manager is responsible for supporting the Store Manager in the various ta…",33.45,https://www.adzuna.com/land/ad/5730411735?se=0Hpj8XFQ8RG6npgFdzaLhw&utm_medium=api&utm_source=abfa41a4&v=0C9CCDFFD15A89240F842D40D2675532BB77E8E3,Assistant Store Manager - Spirit,1,,Adzuna::API::Response::Job,"Phoenix, Maricopa County",Adzuna::API::Response::Location,"['US', 'Arizona', 'Maricopa County', 'Phoenix']",Adzuna::API::Response::Company,Spirit Halloween,retail-jobs,Adzuna::API::Response::Category,Retail Jobs,
