title,salary_min,description,salary_is_predicted,salary_max,adref,latitude,redirect_url,created,__CLASS__,longitude,id,company.display_name,company.__CLASS__,location.area,location.__CLASS__,location.display_name,category.tag,category.label,category.__CLASS__,contract_time,contract_type
"Travel Nurse RN - Medical-Surgical - $2,054 to $2,117 per week in Waterloo, IA",8468.0,"Registered Nurse (RN) | Medical-Surgical Location: Waterloo, IA Agency: Jackson Nurse Professionals Pay: $2,054 to $2,117 per week Shift Information: Nights - 3 days x 12 hours Contract Duration: 14 Weeks Start Date: 6/1/2026 About the Position At Jackson Nurse Professionals , we are dedicated to supporting travel nurses and helping you build a fulfilling nursing career. Whether you’re looking for your first or next travel nursing assignment, we specialize in connecting healthcare professionals…",0,8468.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR09oY3FMWmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI4ODA4In0.TObEkgaX6HMuo3BkywlTsKskXtsIgyuVaFmfE_mqKxI,42.429256,https://www.adzuna.com/land/ad/5743628808?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=32DA2CACD01462B5CE008F382AD1AD65D76503A9,2026-05-28T12:52:23Z,Adzuna::API::Response::Job,-92.313378,5743628808,Jackson Nurse Professionals,Adzuna::API::Response::Company,"['US', 'Iowa', 'Black Hawk County', 'Waterloo']",Adzuna::API::Response::Location,"Waterloo, Black Hawk County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
"Travel Nurse RN - Operating Room - $1,946 to $2,006 per week in San Marcos, TX",8024.0,"Registered Nurse (RN) | Operating Room Location: San Marcos, TX Agency: Jackson Nurse Professionals Pay: $1,946 to $2,006 per week Shift Information: Days - 5 days x 8 hours Contract Duration: 13 Weeks Start Date: ASAP About the Position At Jackson Nurse Professionals , we are dedicated to supporting travel nurses and helping you build a fulfilling nursing career. Whether you’re looking for your first or next travel nursing assignment, we specialize in connecting healthcare professionals with l…",0,8024.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODgwMCIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.2HmOxm3durFjX4PSCscKd-dN2Y3Pyynnk2WaA5E1dIc,29.883275,https://www.adzuna.com/land/ad/5743628800?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=3DA27E3BD811C603A8075DC6F7D6EC8A95B17F6B,2026-05-28T12:52:22Z,Adzuna::API::Response::Job,-97.941394,5743628800,Jackson Nurse Professionals,Adzuna::API::Response::Company,"['US', 'Texas', 'Hays County', 'San Marcos']",Adzuna::API::Response::Location,"San Marcos, Hays County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
"Travel Nurse RN - Labor & Delivery - $1,800 to $1,855 per week in El Paso, TX",7420.0,"Registered Nurse (RN) | Labor & Delivery Location: El Paso, TX Agency: Jackson Nurse Professionals Pay: $1,800 to $1,855 per week Shift Information: Nights - 3 days x 12 hours Contract Duration: 13 Weeks Start Date: 6/1/2026 About the Position At Jackson Nurse Professionals , we are dedicated to supporting travel nurses and helping you build a fulfilling nursing career. Whether you’re looking for your first or next travel nursing assignment, we specialize in connecting healthcare professionals …",0,7420.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR09oY3FMWmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI4ODAxIn0.pzfG6xnQG-4ZrNiMsLI2Lup9jsotLqdOMSVwxlIkuMQ,31.759737,https://www.adzuna.com/land/ad/5743628801?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=6496085F0E3FF5BBFBEBE2BA00F4F49FFCEA7811,2026-05-28T12:52:22Z,Adzuna::API::Response::Job,-106.478871,5743628801,Jackson Nurse Professionals,Adzuna::API::Response::Company,"['US', 'Texas', 'El Paso County', 'El Paso']",Adzuna::API::Response::Location,"El Paso, El Paso County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
"Travel Nurse RN - Medical-Surgical - $1,664 to $1,715 per week in Atlanta, GA",6860.0,"Registered Nurse (RN) | Medical-Surgical Location: Atlanta, GA Agency: Jackson Nurse Professionals Pay: $1,664 to $1,715 per week Shift Information: Nights - 3 days x 12 hours Contract Duration: 8 Weeks Start Date: 6/1/2026 About the Position TravelNurseSource is working with Jackson Nurse Professionals to find a qualified Med/Surg RN in Atlanta, Georgia, 30303! At Jackson Nurse Professionals , we are dedicated to supporting travel nurses and helping you build a fulfilling nursing career. Wheth…",0,6860.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODgwMyIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.r1y-J7CkkyO2OmPKPKa4lPh7_VorckZOC-HTGpNAua4,33.755711,https://www.adzuna.com/land/ad/5743628803?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=2720168DE9A2BCCE517CA8320C4CFB5D035C355A,2026-05-28T12:52:22Z,Adzuna::API::Response::Job,-84.388372,5743628803,TravelNurseSource,Adzuna::API::Response::Company,"['US', 'Georgia', 'Fulton County', 'Atlanta']",Adzuna::API::Response::Location,"Atlanta, Fulton County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
(CNA) Certified Nursing Assistant,39520.0,"Complete Care at Barn Hill - Certified Nursing Assistant (CNA) - Newton, New Jersey, UP TO $27/hour - All Shifts Available! Job Summary: Complete Care at Barn Hill - Newton, NJ is seeking a dedicated and compassionate Certified Nursing Assistant (CNA) to join our team of healthcare professionals. As a CNA at Complete Care at Barn Hill, you will play a vital role in providing high-quality patient care and support to our residents. If you are passionate about delivering exceptional care and makin…",0,56160.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc5MyIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.SBfofE7p7Rfsc91ap5F9VVEFEAGQg6TPQflJ-7ksh4w,41.057564,https://www.adzuna.com/details/5743628793?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:52:21Z,Adzuna::API::Response::Job,-74.783978,5743628793,Complete Care at Barn Hill,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Sussex County', 'Fredon']",Adzuna::API::Response::Location,"Fredon, Sussex County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
(RN) Registered Nurse,87360.0,"Complete Care at Barn Hill - NOW HIRING: RNs – ALL SHIFTS $42 – $49.75/HR  DIFFERENTIALS  GIFT CARD Complete Care at Barn Hill – Newton, NJ Registered Nurse (RNs) - Various Shifts Join the Complete Care at Barn Hill team and make a difference in the lives of our patients! As a Registered Nurse (RN) with Complete Care at Barn Hill, you will have the opportunity to work in a dynamic and compassionate environment, providing high-quality patient care to individuals in our Newton, New Jersey locatio…",0,103480.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc5MSIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.nN_5yP_uqrscQM1nA9r76HQPRaqf8Z-CRR8qx6YeCBk,41.057564,https://www.adzuna.com/details/5743628791?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:52:21Z,Adzuna::API::Response::Job,-74.783978,5743628791,Complete Care at Barn Hill,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Sussex County', 'Fredon']",Adzuna::API::Response::Location,"Fredon, Sussex County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
Registered Nurse (RN) Evening Shift Supervisor,90000.0,"Complete Care at Barn Hill - NOW HIRING: NURSE SUPERVISOR (RN) Complete Care at Barn Hill / Newton, NJ Monday through Friday - Evening Shift Registered Nurse (RN) Evening Shift Supervisor We are seeking a compassionate and experienced Registered Nurse (RN) to join our team as an Evening Shift Supervisor at Complete Care at Barn Hill in Newton, New Jersey. As a leader in our healthcare facility, you will play a vital role in ensuring the highest level of care is delivered to our patients. If you…",0,95000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc5MiIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.rBRkqiLsDk41L6KXnIwHwvtIsA57PJu8L7KLaX36WXw,41.057564,https://www.adzuna.com/details/5743628792?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:52:21Z,Adzuna::API::Response::Job,-74.783978,5743628792,Complete Care at Barn Hill,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Sussex County', 'Fredon']",Adzuna::API::Response::Location,"Fredon, Sussex County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
Evening Shift Licensed Practical Nurse (LPN),70720.0,"Complete Care at Barn Hill - NOW HIRING: Evening Shift (LPN) - Newton, New Jersey $34.00 – $41.75/HR  DIFFERENTIALS  GIFT CARD Evening Shift Licensed Practical Nurse (LPN) - Newton, New Jersey Join our dedicated team at Complete Care at Barn Hill as a skilled LPN, delivering exceptional patient care to our residents in a warm and compassionate environment. About the Role: Evening Shift Licensed Practical Nurse (LPN) As an Evening Shift Licensed Practical Nurse, you will play a vital role in pro…",0,86840.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc4OSIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.c5V5-o_OO2b7TUS7h2bZ5QnrboF5vDi_I0FrV_P4Xe4,41.057564,https://www.adzuna.com/details/5743628789?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:52:21Z,Adzuna::API::Response::Job,-74.783978,5743628789,Complete Care at Barn Hill,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Sussex County', 'Fredon']",Adzuna::API::Response::Location,"Fredon, Sussex County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
Registered Nurse (RN) Supervisor,104000.0,"Complete Care at Monmouth - $5,000 Sign-On Bonus for Full-time, $2,500 Sign-On Bonus for Part-time At Complete Care at Monmouth , our culture is rooted in compassion, collaboration, comfort, commitment, and confidence . Our dedicated, long-tenured clinical team creates a supportive, family-like environment where residents feel comfortable and cared for—and staff feel valued and empowered. If you’re a committed, confident leader who thrives in a collaborative setting, Complete Care at Monmouth w…",0,104000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR09oY3FMWmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI4Nzg1In0._i014mtWJaEgp8XcY5UP-JPW4hwcegkgT3Ou0SKTtoY,40.2945,https://www.adzuna.com/details/5743628785?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:52:20Z,Adzuna::API::Response::Job,-73.99518,5743628785,Complete Care at Monmouth,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Monmouth County', 'West End']",Adzuna::API::Response::Location,"West End, Monmouth County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
"Travel Nurse RN - Intensive Care Unit (ICU) / Critical Care - $1,961 to $2,021 per week in Montgomery, AL",8084.0,"Registered Nurse (RN) | Intensive Care Unit (ICU) / Critical Care Location: Montgomery, AL Agency: Jackson Nurse Professionals Pay: $1,961 to $2,021 per week Shift Information: Nights Contract Duration: 13 Weeks Start Date: ASAP About the Position At Jackson Nurse Professionals , we are dedicated to supporting travel nurses and helping you build a fulfilling nursing career. Whether you’re looking for your first or next travel nursing assignment, we specialize in connecting healthcare profession…",0,8084.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc4NCIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.Hx1Nw1P3Jb1fzr97BTSJG8gkk0PccBVgPHlr3391Llo,32.398932,https://www.adzuna.com/land/ad/5743628784?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=41C64A3467054FA519B13E1878CE62C7193D1504,2026-05-28T12:52:20Z,Adzuna::API::Response::Job,-86.322464,5743628784,Jackson Nurse Professionals,Adzuna::API::Response::Company,"['US', 'Alabama', 'Montgomery County', 'Montgomery']",Adzuna::API::Response::Location,"Montgomery, Montgomery County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
Registered Nurse (RN) Unit Manager,85000.0,"Complete Care at Monmouth - $5,000 Sign on Bonus! As a Registered Nurse (RN) Unit Manager , you will play a key leadership role on our Complete Care at Monmouth clinical team—overseeing daily operations, supporting and mentoring nursing staff, and ensuring our residents receive the highest quality of care. Your leadership will help create a positive, collaborative environment where both residents and team members feel supported. If you are a compassionate nurse with strong leadership skills and…",0,95000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc3OSIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.snxjZisu5Jr6zbG5Q8oHBe7O9qy-U6hOfpoQhux16bo,40.2945,https://www.adzuna.com/details/5743628779?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:52:20Z,Adzuna::API::Response::Job,-73.99518,5743628779,Complete Care at Monmouth,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Monmouth County', 'West End']",Adzuna::API::Response::Location,"West End, Monmouth County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
Every Other Weekend Nurse Supervisor,64480.0,"Complete Care at Barn Hill - NOW HIRING: NURSE SUPERVISOR (RN or LPN) Complete Care at Barn Hill | Newton, NJ Part-Time | Every Other Weekend 7am - 3pm or 3pm - 11pm · Lead with confidence. Support your team. Elevate resident care. · Supervise CNAs, LPNs & RNs · Oversee clinical operations · Drive quality outcomes Now Hiring: Nurse Supervisor You Bring: NURSE SUPERVISOR (RN or LPN) • Active NJ RN or LPN license • Leadership experience in LTC/Rehab/SNF • Strong clinical & communication skills No…",0,97760.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR09oY3FMWmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI4Nzg3In0.cIfFHAoAfOTk0daHyqQcagwYb1lwxsm9BnYTg9dtg90,41.057564,https://www.adzuna.com/details/5743628787?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:52:20Z,Adzuna::API::Response::Job,-74.783978,5743628787,Complete Care at Barn Hill,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Sussex County', 'Fredon']",Adzuna::API::Response::Location,"Fredon, Sussex County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
"Travel Nurse RN - Intensive Care Unit (ICU) / Critical Care - $1,961 to $2,021 per week in Montgomery, AL",8084.0,"Registered Nurse (RN) | Intensive Care Unit (ICU) / Critical Care Location: Montgomery, AL Agency: Jackson Nurse Professionals Pay: $1,961 to $2,021 per week Shift Information: Nights Contract Duration: 13 Weeks Start Date: ASAP About the Position TravelNurseSource is working with Jackson Nurse Professionals to find a qualified ICU/Critical Care RN in Montgomery, Alabama, 36116! At Jackson Nurse Professionals , we are dedicated to supporting travel nurses and helping you build a fulfilling nurs…",0,8084.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc4MyIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.YoBSQHsQQdBaquojtrtLuvrdi3l4zBdtGBxtpngnKYk,32.398932,https://www.adzuna.com/land/ad/5743628783?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=7ECD509BE41C02E713A4D41BEE5E1FBF8C269619,2026-05-28T12:52:20Z,Adzuna::API::Response::Job,-86.322464,5743628783,TravelNurseSource,Adzuna::API::Response::Company,"['US', 'Alabama', 'Montgomery County', 'Montgomery']",Adzuna::API::Response::Location,"Montgomery, Montgomery County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
Licensed Practical Nurse (LPN) Unit Manager,87000.0,"Complete Care at Monmouth - Apply Today! $3,000 Sign-on Bonus! As a Licensed Practical Nurse (LPN) Unit Manager , you will play a key leadership role on our Complete Care at Monmouth clinical team—overseeing daily operations, supporting and mentoring nursing staff, and ensuring our residents receive the highest quality of care. Your leadership will help create a positive, collaborative environment where both residents and team members feel supported. If you are a compassionate nurse with strong…",0,92000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc4MiIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.LcsxcFNbA-zmHxR0J1K9AbstU6lodvm1E1iLbudrkZM,40.2945,https://www.adzuna.com/details/5743628782?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:52:20Z,Adzuna::API::Response::Job,-73.99518,5743628782,Complete Care at Monmouth,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Monmouth County', 'West End']",Adzuna::API::Response::Location,"West End, Monmouth County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
Activity Aide,33113.0,"Complete Care at Burlington Woods - Our residents hold a special place as cherished members of our extended family. Choosing a dependable team of caregivers, committed to their promises, is a significant and difficult life decision for any family. As a collective, we take pride in being a sanctuary where individuals in our community can discover compassionate support along their health journey. As an Activity Aide on our team, you will make a meaningful impact on the lives of our extended famil…",0,33113.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR09oY3FMWmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI4Nzg2In0.Tj9v1qg0SMsaZX8PMWJhQ6ywVa4R0oZjvOBS6VWWQqc,40.07424,https://www.adzuna.com/details/5743628786?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:52:20Z,Adzuna::API::Response::Job,-74.82318,5743628786,Complete Care at Burlington Woods,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Burlington County', 'Burlington City']",Adzuna::API::Response::Location,"Burlington City, Burlington County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
Registered Nurse (RN) First Shift Unit Manager,95000.0,"Complete Care at Barn Hill - RN UNIT MANAGER – FIRST SHIFT $5000 Sign On! Complete Care at Barn Hill | Newton, NJ Monday through Friday 8a-4pm We offer competitive wages, great benefits, and a workplace where your leadership is valued and supported. $5000 Sign On! Registered Nurse First Shift, Unit Manager Join Our Team at Complete Care at Barn Hill! As a Registered Nurse First Shift Unit Manager at Complete Care at Barn Hill, you will be responsible for overseeing the daily operations of our h…",0,98000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc4OCIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.WBN8w4TaCuvjDU3glW2Y8cmzwo9bDiYP1uKzPOuDx20,41.057564,https://www.adzuna.com/details/5743628788?utm_medium=api&utm_source=abfa41a4,2026-05-28T12:52:20Z,Adzuna::API::Response::Job,-74.783978,5743628788,Complete Care at Barn Hill,Adzuna::API::Response::Company,"['US', 'New Jersey', 'Sussex County', 'Fredon']",Adzuna::API::Response::Location,"Fredon, Sussex County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,,
"Travel Nurse RN - Operating Room - $2,318 to $2,388 per week in Hartford, CT",9552.0,"Registered Nurse (RN) | Operating Room Location: Hartford, CT Agency: Jackson Nurse Professionals Pay: $2,318 to $2,388 per week Shift Information: Days - 3 days x 12 hours Contract Duration: 13 Weeks Start Date: ASAP About the Position At Jackson Nurse Professionals , we are dedicated to supporting travel nurses and helping you build a fulfilling nursing career. Whether you’re looking for your first or next travel nursing assignment, we specialize in connecting healthcare professionals with le…",0,9552.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc3MyIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.b6WaTfa76eN10IENl7qk5rG9zDgFJqGmsFXOmz9eYNs,41.789968,https://www.adzuna.com/land/ad/5743628773?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=8C0A6143E27162D2B115F7BE1F2D2270D9B819E5,2026-05-28T12:52:19Z,Adzuna::API::Response::Job,-72.662236,5743628773,Jackson Nurse Professionals,Adzuna::API::Response::Company,"['US', 'Connecticut', 'Hartford County', 'Hartford']",Adzuna::API::Response::Location,"Hartford, Hartford County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,full_time,contract
Personal Care Aide,37785.49,"Addus HomeCare is hiring immediately for Personal Care Aides. This rewarding, entry-level position provides consistent, flexible full-time/part-time hours to accommodate your personal needs, while providing a great career with a growing, innovative industry leader. If you have a drive to help others, and you are looking for a meaningful, fulfilling, independent career with an organization that encourages and supports your contribution, we invite you to join our team. Personal Care Aides Perks: …",1,37785.49,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc1NiIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.dRo1-EfOTPm1lg3dBqxLnRSdSMDHXRkg7aH-wBZQ4nU,35.908232,https://www.adzuna.com/land/ad/5743628756?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=989D7DC2B10BC17E4F5EBF161A3BF7E16DF04269,2026-05-28T12:52:16Z,Adzuna::API::Response::Job,-92.641017,5743628756,Addus Homecare,Adzuna::API::Response::Company,"['US', 'Arkansas', 'Searcy County', 'Marshall']",Adzuna::API::Response::Location,"Marshall, Searcy County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,part_time,
Personal Care Aide,44292.99,"Addus HomeCare is hiring immediately for Personal Care Aides in West Plains and all surrounding areas. This rewarding, entry-level position provides consistent, flexible full-time/part-time hours to accommodate your personal needs, while providing a great career with a growing, innovative industry leader. If you have a drive to help others, and you are looking for a meaningful, fulfilling, independent career with an organization that encourages and supports your contribution, we invite you to j…",1,44292.99,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc2MCIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.0CuSBYVjRzNXBEIJV5ozldeSyHKzqMhKvB0ZnJNygDA,36.722514,https://www.adzuna.com/land/ad/5743628760?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=9F80DD5A641A8CF70A14DCB3DF29BA3DE2FB491A,2026-05-28T12:52:16Z,Adzuna::API::Response::Job,-91.871516,5743628760,Addus Homecare,Adzuna::API::Response::Company,"['US', 'Missouri', 'Howell County', 'West Plains']",Adzuna::API::Response::Location,"West Plains, Howell County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,part_time,
Personal Care Aide,46183.13,"Pay rates range from $22 - $23/hr Hiring for Daytime and overnight shifts including weekends Arcadia Home Care & Staffing is hiring immediately for Personal Care Aides. This rewarding, entry-level position provides consistent, flexible full-time/part-time hours to accommodate your personal needs, while providing a great career with a growing, innovative industry leader. Arcadia Home Care & Staffing is part of the Addus HomeCare family of companies. If you have a drive to help others, and you ar…",1,46183.13,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR09oY3FMWmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI4NzU1In0.eDS-oQ2xho2tNbWq875fTU3OKDI_x-8CSHDUBrJwug4,37.918501,https://www.adzuna.com/land/ad/5743628755?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=5BC3D4A9647C5446B8B1563D3050DB565095EC20,2026-05-28T12:52:16Z,Adzuna::API::Response::Job,-122.025036,5743628755,Arcadia Home Care and Staffing – an Addus family company,Adzuna::API::Response::Company,"['US', 'California', 'Contra Costa County', 'Concord']",Adzuna::API::Response::Location,"Concord, Contra Costa County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,part_time,
Personal Care Aide,41033.21,"Addus HomeCare is hiring immediately for Personal Care Aides. This rewarding, entry-level position provides consistent, flexible full-time/part-time hours to accommodate your personal needs, while providing a great career with a growing, innovative industry leader. If you have a drive to help others, and you are looking for a meaningful, fulfilling, independent career with an organization that encourages and supports your contribution, we invite you to join our team. Personal Care Aides Perks: …",1,41033.21,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiR09oY3FMWmE4Ukc3ZnBSeS1zb3lfdyIsImkiOiI1NzQzNjI4NzYzIn0.xhOfPsLV8fFuNYAGAQCAwK1VFnL7gPzqfyNyUQaL9t8,36.778332,https://www.adzuna.com/land/ad/5743628763?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=9FA771EE9B500DE54940CDF95E4D7E44BEE73204,2026-05-28T12:52:16Z,Adzuna::API::Response::Job,-89.384495,5743628763,Addus Homecare,Adzuna::API::Response::Company,"['US', 'Missouri', 'Mississippi County', 'East Prairie']",Adzuna::API::Response::Location,"East Prairie, Mississippi County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,part_time,
Personal Care Aide,44536.97,"Addus HomeCare is hiring immediately for Personal Care Aides . This rewarding, entry-level position provides consistent, flexible full-time/part-time hours to accommodate your personal needs, while providing a great career with a growing, innovative industry leader. If you have a drive to help others, and you are looking for a meaningful, fulfilling, independent career with an organization that encourages and supports your contribution, we invite you to join our team. Personal Care Aides Perks:…",1,44536.97,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc2MSIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.H-IbcmDF9aqEKYndH_pIomORK6uCqb7g5JLYEMUb-p0,39.070204,https://www.adzuna.com/land/ad/5743628761?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=83823DB0AA8F509A24FDC35EC03A2BD4CAE798D5,2026-05-28T12:52:16Z,Adzuna::API::Response::Job,-94.345364,5743628761,Addus Homecare,Adzuna::API::Response::Company,"['US', 'Missouri', 'Jackson County', 'Lake Tapawingo']",Adzuna::API::Response::Location,"Lake Tapawingo, Jackson County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,part_time,
Personal Care Aide,101370.16,"URGENT HIRE for the ABILENE area ALL SHIFTS also AVAILABLE Arcadia Home Care & Staffing is hiring immediately for Personal Care Aides. This rewarding, entry-level position provides consistent, flexible full-time/part-time hours to accommodate your personal needs, while providing a great career with a growing, innovative industry leader. Arcadia Home Care & Staffing is part of the Addus HomeCare family of companies. If you have a drive to help others, and you are looking for a meaningful, fulfil…",1,101370.16,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc0MzYyODc1NyIsInMiOiJHT2hjcUxaYThSRzdmcFJ5LXNveV93In0.CSQKiuAmCHjWOTCQlCOBiT6A1CT3Ch4BbKp257FPRjs,32.396218,https://www.adzuna.com/land/ad/5743628757?se=GOhcqLZa8RG7fpRy-soy_w&utm_medium=api&utm_source=abfa41a4&v=67D32F68445B856A849E1AD591207D0A51B741F2,2026-05-28T12:52:16Z,Adzuna::API::Response::Job,-98.808275,5743628757,Arcadia Home Care and Staffing – an Addus family company,Adzuna::API::Response::Company,"['US', 'Texas', 'Eastland County', 'Eastland']",Adzuna::API::Response::Location,"Eastland, Eastland County",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,part_time,
