title,adref,salary_min,latitude,id,contract_time,description,__CLASS__,redirect_url,longitude,created,salary_is_predicted,salary_max,company.display_name,company.__CLASS__,location.__CLASS__,location.display_name,location.area,category.tag,category.label,category.__CLASS__,contract_type
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiaEJ4UWRrYTA4UkdzWW9VVVNZUk5idyIsImkiOiI1ODkwNzkxMTc5In0.BCYV7pl7E7MENm3ln6daejSnFw6yoTLuOaYoiI-W0W8,67600.0,31.2855,5890791179,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791179?se=hBxQdka08RGsYoUUSYRNbw&utm_medium=api&utm_source=abfa41a4&v=02E9191FAA3AE7B4EBE784E2F5032C1818AF6F58,-86.26476,2026-09-19T12:09:44Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Opp, Covington County","['US', 'Alabama', 'Covington County', 'Opp']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Class A CDL Company Driver - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE5MSIsInMiOiJoQnhRZGthMDhSR3NZb1VVU1lSTmJ3In0.Gatahw_FLAa7VN0i3OI1X2XEOB5FGv_n2rGniwu_lzQ,67600.0,37.973561,5890791191,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791191?se=hBxQdka08RGsYoUUSYRNbw&utm_medium=api&utm_source=abfa41a4&v=5B6A4C9108828D62035992DF13AE97D0992432EE,-78.273914,2026-09-19T12:09:44Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Troy, Fluvanna County","['US', 'Virginia', 'Fluvanna County', 'Troy']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTIwMyIsInMiOiJoQnhRZGthMDhSR3NZb1VVU1lSTmJ3In0.tP7YnYYBI6msBnfIKs5rnSDgu232PucTxo3wWsOoWJ8,0.0,37.973561,5890791203,full_time,"CDL-A Dedicated Truck Driver: Avg $1,600/wk  $2,500 BONUS - Home Weekly. Pay: $2,500 Sign On Bonus $0.60 - $0.63 per mile All in Pay: $1.05 (CPM  accessorial pay) Average $1,600 per week Top earners average $1,800 per week Unload & Backhaul Pay What We Offer: Consistent Miles Home Weekly 100% Touch Freight 24/7 Driver Support Paid Vacation Route: FL, GA, AL, MS, and LA Equipment: Newer Equipment Averaging 36 Months Benefits: Health, Dental & Vision Insurance with prescription benefits for emplo…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791203?se=hBxQdka08RGsYoUUSYRNbw&utm_medium=api&utm_source=abfa41a4&v=BA52385DB66F569E5143392F7454AFC5EA7CAFAE,-78.273914,2026-09-19T12:09:44Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Troy, Fluvanna County","['US', 'Virginia', 'Fluvanna County', 'Troy']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Dedicated CDL-A Company Driver - 1-5mo EXP Required - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE4MyIsInMiOiJoQnhRZGthMDhSR3NZb1VVU1lSTmJ3In0.k-dB7RybRTf6HRuWS0I8GPqPUA-ZuLV3MPGfFceOWvY,67600.0,30.800347,5890791183,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791183?se=hBxQdka08RGsYoUUSYRNbw&utm_medium=api&utm_source=abfa41a4&v=1C7E8402E86A248663B4E68B5466AF0B4C2AEB1C,-85.201287,2026-09-19T12:09:44Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Marianna, Jackson County","['US', 'Florida', 'Jackson County', 'Marianna']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTIwNyIsInMiOiIxa2xyZDBhMDhSR01XX19nbzV6UWpBIn0.x2NVav9Wz97yEmRHKH7C-Lc_qWWgSDHOcnXRAO9V0_g,67600.0,37.973561,5890791207,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791207?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=6B669079D86A4E1754625D0E457F821F2B4B79BA,-78.273914,2026-09-19T12:09:44Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Troy, Fluvanna County","['US', 'Virginia', 'Fluvanna County', 'Troy']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE4OSIsInMiOiIxa2xyZDBhMDhSR01XX19nbzV6UWpBIn0.LmKs5B5xTe4pE3NcYU1D-9i4TFFU0CxD9Qp-jfEHhr0,0.0,31.359388,5890791189,full_time,"CDL-A Dedicated Truck Driver: Avg $1,600/wk  $2,500 BONUS - Home Weekly. Pay: $2,500 Sign On Bonus $0.60 - $0.63 per mile All in Pay: $1.05 (CPM  accessorial pay) Average $1,600 per week Top earners average $1,800 per week Unload & Backhaul Pay What We Offer: Consistent Miles Home Weekly 100% Touch Freight 24/7 Driver Support Paid Vacation Route: FL, GA, AL, MS, and LA Equipment: Newer Equipment Averaging 36 Months Benefits: Health, Dental & Vision Insurance with prescription benefits for emplo…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791189?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=189FE25C5BCC7E4D1A643760968DF86052A12DA9,-85.326857,2026-09-19T12:09:44Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Headland, Henry County","['US', 'Alabama', 'Henry County', 'Headland']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE5NCIsInMiOiIxa2xyZDBhMDhSR01XX19nbzV6UWpBIn0.0bOuKCm6B91BnWtu1-R2XG_66_xJTtvmp2u_Cbsfzik,0.0,31.290628,5890791194,full_time,"CDL-A Dedicated Truck Driver: Avg $1,600/wk  $2,500 BONUS - Home Weekly. Pay: $2,500 Sign On Bonus $0.60 - $0.63 per mile All in Pay: $1.05 (CPM  accessorial pay) Average $1,600 per week Top earners average $1,800 per week Unload & Backhaul Pay What We Offer: Consistent Miles Home Weekly 100% Touch Freight 24/7 Driver Support Paid Vacation Route: FL, GA, AL, MS, and LA Equipment: Newer Equipment Averaging 36 Months Benefits: Health, Dental & Vision Insurance with prescription benefits for emplo…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791194?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=0637E2DDBA5336A699B60711AD6CA3DC7EEF9647,-85.726114,2026-09-19T12:09:44Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Daleville, Dale County","['US', 'Alabama', 'Dale County', 'Daleville']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Class A CDL Company Driver - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMWtscmQwYTA4UkdNV19fZ281elFqQSIsImkiOiI1ODkwNzkxMTMyIn0.mjHxUinrULSF1yW_lG-JLymPz9AZxjseJt1WGYncmZo,67600.0,30.444654,5890791132,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791132?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=66EE41C5E057028EAB5740D9A9660159BE64D02E,-86.571579,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Shalimar, Okaloosa County","['US', 'Florida', 'Okaloosa County', 'Shalimar']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Class A CDL Company Driver - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMWtscmQwYTA4UkdNV19fZ281elFqQSIsImkiOiI1ODkwNzkxMTM2In0.0Mu8jcK1YZmxxxzokiBPQJgwm_qar6eRBFTngsP99Go,67600.0,30.654841,5890791136,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791136?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=EC6B49316322CEFB271CEA1353B23FD91D8F3672,-85.581559,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Wausau, Washington County","['US', 'Florida', 'Washington County', 'Wausau']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE1MCIsInMiOiIxa2xyZDBhMDhSR01XX19nbzV6UWpBIn0.X6ZQ9hjgccFCK8DycGa_7Fvc4C03omw_mqS6V_NBo_k,0.0,30.833385,5890791150,full_time,"CDL-A Dedicated Truck Driver: Avg $1,600/wk  $2,500 BONUS - Home Weekly. Pay: $2,500 Sign On Bonus $0.60 - $0.63 per mile All in Pay: $1.05 (CPM  accessorial pay) Average $1,600 per week Top earners average $1,800 per week Unload & Backhaul Pay What We Offer: Consistent Miles Home Weekly 100% Touch Freight 24/7 Driver Support Paid Vacation Route: FL, GA, AL, MS, and LA Equipment: Newer Equipment Averaging 36 Months Benefits: Health, Dental & Vision Insurance with prescription benefits for emplo…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791150?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=00131AAC2E3EE3E4BA099D0F6047C4F30B9C7582,-85.703205,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Caryville, Holmes County","['US', 'Florida', 'Holmes County', 'Caryville']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
CDL-A Company Driver - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE2NCIsInMiOiIxa2xyZDBhMDhSR01XX19nbzV6UWpBIn0.kIFGSqRo2-WOKdqfN3ie6KJguATd9h3oeoWkrVL6EgY,67600.0,37.973561,5890791164,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791164?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=2BCAD3BB0FBD3B1FE0967BDB24FBF8B631A84737,-78.273914,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Troy, Fluvanna County","['US', 'Virginia', 'Fluvanna County', 'Troy']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
CDL-A Company Driver - 1-5mo EXP Required - Dedicated - Dry Van - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE2MiIsInMiOiIxa2xyZDBhMDhSR01XX19nbzV6UWpBIn0.oFQSzFW05Sert_Cq6tX5cOY106vZdajKS-xEKORkquE,0.0,31.2855,5890791162,full_time,"CDL-A Dedicated Truck Driver: Avg $1,600/wk  $2,500 BONUS - Home Weekly. Pay: $2,500 Sign On Bonus $0.60 - $0.63 per mile All in Pay: $1.05 (CPM  accessorial pay) Average $1,600 per week Top earners average $1,800 per week Unload & Backhaul Pay What We Offer: Consistent Miles Home Weekly 100% Touch Freight 24/7 Driver Support Paid Vacation Route: FL, GA, AL, MS, and LA Equipment: Newer Equipment Averaging 36 Months Benefits: Health, Dental & Vision Insurance with prescription benefits for emplo…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791162?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=3CA3189F9A419B2524C1F28ED79A629AF7111036,-86.26476,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Opp, Covington County","['US', 'Alabama', 'Covington County', 'Opp']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Dedicated CDL-A Company Driver - 1-5mo EXP Required - Dry Van - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE3MyIsInMiOiIxa2xyZDBhMDhSR01XX19nbzV6UWpBIn0.0P-7CdwFYJ2VvjT3Z7VN2nXheRGoCbkQHFzpxYQcHq4,0.0,37.973561,5890791173,full_time,"CDL-A Dedicated Truck Driver: Avg $1,600/wk  $2,500 BONUS - Home Weekly. Pay: $2,500 Sign On Bonus $0.60 - $0.63 per mile All in Pay: $1.05 (CPM  accessorial pay) Average $1,600 per week Top earners average $1,800 per week Unload & Backhaul Pay What We Offer: Consistent Miles Home Weekly 100% Touch Freight 24/7 Driver Support Paid Vacation Route: FL, GA, AL, MS, and LA Equipment: Newer Equipment Averaging 36 Months Benefits: Health, Dental & Vision Insurance with prescription benefits for emplo…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791173?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=DABC86D54FA4D0946BE327CB0D0E305239F8BF55,-78.273914,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Troy, Fluvanna County","['US', 'Virginia', 'Fluvanna County', 'Troy']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMWtscmQwYTA4UkdNV19fZ281elFqQSIsImkiOiI1ODkwNzkxMTYxIn0.8a7ztGTtSgqJxYFMaBPbnymMU0T3VJ9Vxveg_V74FDM,67600.0,30.800347,5890791161,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791161?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=1BB4D5D719C7E4F9E6C37489AE13F31B15A77FD4,-85.201287,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Marianna, Jackson County","['US', 'Florida', 'Jackson County', 'Marianna']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMWtscmQwYTA4UkdNV19fZ281elFqQSIsImkiOiI1ODkwNzkxMTM3In0.EA-VZFSd0FUiTcLovDBAbb4HII5ZWXP-StmLrOj_8kc,67600.0,31.325589,5890791137,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791137?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=D58C5B97F5DD778E154A8576961CA78BCB3C9493,-85.844583,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Enterprise, Coffee County","['US', 'Alabama', 'Coffee County', 'Enterprise']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE3MiIsInMiOiIxa2xyZDBhMDhSR01XX19nbzV6UWpBIn0.6fRc2UrHpb9MkV0PD1Y7ASJxda4GxwhihZV73v8cFwA,0.0,37.973561,5890791172,full_time,"CDL-A Dedicated Truck Driver: Walmart Route - Home Weekly $2,500 Sign On Bonus!. Walmart Dedicated account averages $1,400/ week Top earners average $1,800 per week $2,500 Sign On Bonus Home Weekly 100% No Touch Freight Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability In…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791172?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=D878E84972C26ECFB03ED952CD84C844CEE6372B,-78.273914,2026-09-19T12:09:43Z,0,67600.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Troy, Fluvanna County","['US', 'Virginia', 'Fluvanna County', 'Troy']",healthcare-nursing-jobs,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE1OCIsInMiOiIxa2xyZDBhMDhSR01XX19nbzV6UWpBIn0.qdt8T8cU0VzjjrFARlATDX4kgtErawoXsg4qQmwmUdg,67600.0,30.654841,5890791158,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791158?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=7CCAF87A948F6DDBC8839BA5B0C33718C40A81A4,-85.581559,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Wausau, Washington County","['US', 'Florida', 'Washington County', 'Wausau']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg5MDc5MTE3NSIsInMiOiIxa2xyZDBhMDhSR01XX19nbzV6UWpBIn0.bcv3fs9M9o4zNh_lh0hD2XjHM9m58H0Y7nMKs7wsgBs,0.0,30.800347,5890791175,full_time,"CDL-A Dedicated Truck Driver: Avg $1,600/wk  $2,500 BONUS - Home Weekly. Pay: $2,500 Sign On Bonus $0.60 - $0.63 per mile All in Pay: $1.05 (CPM  accessorial pay) Average $1,600 per week Top earners average $1,800 per week Unload & Backhaul Pay What We Offer: Consistent Miles Home Weekly 100% Touch Freight 24/7 Driver Support Paid Vacation Route: FL, GA, AL, MS, and LA Equipment: Newer Equipment Averaging 36 Months Benefits: Health, Dental & Vision Insurance with prescription benefits for emplo…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791175?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=4EFA11FDE96B5DE6EAC83EE52239B914B9710B46,-85.201287,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Marianna, Jackson County","['US', 'Florida', 'Jackson County', 'Marianna']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
Truck Driver Company - 1-5mo EXP Required - Dedicated - Dry Van - $1.3k - $1.6k per week - U.S. Xpress - Dedicated,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMWtscmQwYTA4UkdNV19fZ281elFqQSIsImkiOiI1ODkwNzkxMTMzIn0.y3utVP-WOwSfaAYv1C1KN8yEzkETR4bIB6BRRV_pu0A,67600.0,30.833385,5890791133,full_time,"CDL-A Dedicated Truck Driver: Avg $1,300 - $1,600/wk & $2,000 Bonus. Average $1,300 - $1,600 per week $2,000 Sign On Bonus Home Weekly 100% Touch Freight Offers Unload, Stop & Backhaul Pay Paid Vacation Benefits: Health, Dental & Vision Insurance with prescription benefits for employees and dependents Paid vacation after 1 year 401(k) Match Basic and Supplemental Life Insurance and Accidental Death and Dismemberment Insurance Short-Term and Long-Term Disability Insurance Accident Insurance Hosp…",Adzuna::API::Response::Job,https://www.adzuna.com/land/ad/5890791133?se=1klrd0a08RGMW__go5zQjA&utm_medium=api&utm_source=abfa41a4&v=0B2D2129C427B2F0629B9B9C289BC90900AE9E91,-85.703205,2026-09-19T12:09:43Z,0,83200.0,U.S. Xpress - Dedicated,Adzuna::API::Response::Company,Adzuna::API::Response::Location,"Caryville, Holmes County","['US', 'Florida', 'Holmes County', 'Caryville']",logistics-warehouse-jobs,Logistics & Warehouse Jobs,Adzuna::API::Response::Category,
