description,created,salary_max,id,longitude,title,redirect_url,adref,salary_min,latitude,salary_is_predicted,__CLASS__,company.__CLASS__,company.display_name,location.area,location.__CLASS__,location.display_name,category.__CLASS__,category.label,category.tag,contract_time,contract_type
"Warehouse Worker UPS Quick Apply Applying for this role online is quick and easy – you could even get a job offer in 10 minutes! The steps are simple: 1) Provide some basic information to start the application process. 2) Watch a short video to see what the job is like. 3) Complete our online application process. 4) Receive your job offer and schedule your first day of work. UPS Warehouse Workers Also known as package handlers, many of our warehouse workers load/unload packages in and out of UP…",2026-08-22T09:26:46Z,37597.86,5852501547,-122.50524,SAN RAFAEL CENTER (CASRA) - 06 - Sourcing Only,https://www.adzuna.com/details/5852501547?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMTU0NyIsInMiOiJiTDdKeUM2ZThSR1U2TElqeWFSbndBIn0.gLXradGEQrEM5cs3y0w1DavPGDSUwocA9BfQuAIVPVA,37597.86,37.97136,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,UPS,"['US', 'California', 'Marin County', 'San Rafael']",Adzuna::API::Response::Location,"San Rafael, Marin County",Adzuna::API::Response::Category,Logistics & Warehouse Jobs,logistics-warehouse-jobs,,
"Mixlab, the fast-growing veterinary compounding pharmacy, is hiring a Compounding Pharmacy Technicians in our Texas pharmacy. We are looking for Technicians who are obsessed with details and are driven by an ability to makeithappen for our customers and their furry (and scaly!) friends no matter what. You will be an integral part in helping us to ensure our TX operations run smoothly, and to make Mixlab a 100% dependable resource for our customers and veterinarians alike. Compounding Responsibi…",2026-08-22T09:35:45Z,49920.0,5852503801,-97.691692,Compounding Technician,https://www.adzuna.com/details/5852503801?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzgwMSIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.LHaoQiilM1qBs8Ys6FSGsx8UfebFmpORNV-JytGrroY,45760.0,32.838076,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Mixlab,"['US', 'Texas', 'Parmer County', 'Weatherford']",Adzuna::API::Response::Location,"Weatherford, Parmer County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"Primary City/State: Osborn Medical Center - 7400 E Osborn Rd Scottsdale, AZ 85251 Category: Healthcare Support Shift: Day Department: Medical/Surgical Unit-5EW&xa;&xa; This position is a full-time Day shift working with 3-12 hour shifts from 6:00 AM–6:30 PM. We offer self-scheduling for shift and weekend coverage. Scheduled workdays may vary, as there are no set or fixed days. Weekend and Holiday Rotations are required in this role. Weekend shift differentials are offered, along with evening an…",2026-08-22T09:35:44Z,42359.21,5852503797,-111.898592,Patient Care Technician Medical Surgical,https://www.adzuna.com/details/5852503797?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc5NyIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.2cOsYNtSN5QsbSDncoAh6s_j0ojv8ew6UXfJ6iLupgw,42359.21,33.524364,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,HonorHealth,"['US', 'Arizona', 'Maricopa County', 'Scottsdale']",Adzuna::API::Response::Location,"Scottsdale, Maricopa County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"Job Summary Our Medline Acute Care sales team serves as the main interface for various segments in the hospital such as OR, Cath Lab, ICU, Labor and Delivery, Emergency Department, Materials Management and C-suite. Our engagement with clinical and industry leaders allows us to deliver a robust product portfolio and patient-care solutions. We optimize care with quality hospital supplies and customized solutions which is why our customers continue to choose us as their trusted business partner - …",2026-08-22T09:35:44Z,91972.59,5852503798,,Sales Rep Acute Care,https://www.adzuna.com/details/5852503798?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc5OCIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.A5qbR79kfqPUYCIwURMMjxry3Ifnldgcvr7pJ69JhgM,91972.59,,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Medline,['US'],Adzuna::API::Response::Location,US,Adzuna::API::Response::Category,Sales Jobs,sales-jobs,full_time,
"Registered Nurse | Licensed Practical Nurse ALTERCARE ALLIANCE ALLIANCE, OHIO Full Time Day and Night Shift Opportunities - $10,000 Sign on Bonus We offer a dynamic team oriented work environment and exceptional nursing benefits including: Instant Access to Earned Wages FLEXIBLE SCHEDULING Competitive base pay, Shift Differentials, and years of experience pay New and Improved Tuition Reimbursement Plan PTO Vacation for all Full Time employees Affordable Health Insurance for Full Time Dental and…",2026-08-22T09:35:43Z,59250.96,5852503793,-80.85675,"Registered Nurse | Licensed Practical Nurse - Full Time - $10,000 Sign on bonus",https://www.adzuna.com/details/5852503793?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc5MyIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.0193k8Octwfs7QJ1ri1k4ZkXxE5BYxparBANwTnnrXA,59250.96,40.900892,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Altercare,"['US', 'Ohio', 'Columbiana County', 'Salem']",Adzuna::API::Response::Location,"Salem, Columbiana County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"Summary The Guest Services Inventory Specialist will assist Guests, Stores and Corporate Office needs while providing exceptional service and delivering results that contribute to the company mission. The Guest Services Inventory Specialist will address issues regarding merchandise including but not limited to; returns, orders, shipping, Point of Sale (POS), Stock Keeping Unit (SKU) research, inventory and store process compliance. This Teammate will ask questions to determine the root cause/is…",2026-08-22T09:35:43Z,39713.22,5852503795,-99.107597,Guest Services Inventory Specialist,https://www.adzuna.com/details/5852503795?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc5NSIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.VqPkuxzjHXulXL85xVmiaTAu8oPZofhAHnQ9tLOGfA0,39713.22,40.707419,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Buckle,"['US', 'Nebraska', 'Buffalo County', 'Riverdale']",Adzuna::API::Response::Location,"Riverdale, Buffalo County",Adzuna::API::Response::Category,IT Jobs,it-jobs,full_time,
"Pelvic Physical Therapist – Outpatient Pelvic Health Build Your Outpatient Physical Therapy Career with us! Hendersonville, TN At Results Physiotherapy with Ascension - Saint Thomas, part of the Upstream Rehabilitation network, you can focus on patient care while advancing your career in outpatient orthopedic physical therapy. We’re hiring full-time, part-time, and PRN Pelvic Health Physical Therapists — including new grads — who want competitive pay, strong mentorship, and a clear path to prof…",2026-08-22T09:35:42Z,90000.0,5852503792,,Physical Therapist - Pelvic,https://www.adzuna.com/details/5852503792?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzkyIn0.J5tzPehMQQ3Yw16DaWQo15zXLZPoxaF3D499dn5YEXA,75000.0,,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Upstream Rehabilitation,['US'],Adzuna::API::Response::Location,US,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"Job Details Scheduler II - M-F - 8:30a-5:00p - Avenue North PRIMARY FUNCTION: To perform scheduling functions for multiple sites and multiple modalities. Interact with patient and/or physician office to facilitate scheduling. Obtains accurate patient demographic, financial, and insurance information in preparation for all third-party payers. PRINCIPAL DUTIES AND RESPONSIBILITIES: First point of contact interacting with patients over the phone Handles a high volume of incoming calls. Manages the…",2026-08-22T09:35:38Z,57595.0,5852503786,,Scheduler II - M-F - 8:30a-5:00p - Avenue North,https://www.adzuna.com/details/5852503786?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzg2In0.1ZEQZr39eDIVfrOIKc3pbExBwoOcuXjwnwnl7a9AC1E,39728.0,,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Christiana Care Health Services,['US'],Adzuna::API::Response::Location,US,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"Department: 37157 Carolinas Medical Center - Neurology Specialty Clinic: KMOB Status: Full time Benefits Eligible: Yes Hou rs Per Week: 40 Schedule Details/Additional Information: Headache clinic, South Park Location Monday-Friday 8am-5pm This position is sign-on bonus eligible. Based on eligibility. Pay Range: $22.90 - $34.35 Major Responsibilities: Adheres to Medical Assistant scope of practice, follows all policies and procedures, and maintains training and competency based on area of specia…",2026-08-22T09:35:37Z,71448.0,5852503785,-80.846082,Medical Assistant Atrium Health Neurology South Park FT-Headache Clinic,https://www.adzuna.com/details/5852503785?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc4NSIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.Y8iBgmrlTxGc6B0tUOqTwTv-mr8JSQVWD8d7xuXuP7E,47632.0,35.232678,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Advocate Health and Hospitals Corporation,"['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']",Adzuna::API::Response::Location,"Charlotte, Mecklenburg County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"Unit Overview MCU is responsible for prosecuting serious felonies, including crimes of violence and offenses that significantly impact community safety. ASAs assigned to this unit prosecute offenses including robbery, burglary, carjacking, first-degree assault, attempted murder, motor vehicle theft, and other major felony crimes. ASAs manage cases from initial screening and charging through trial, sentencing, and post-disposition matters, while ensuring the fair and effective administration of …",2026-08-22T09:35:36Z,166347.0,5852503781,-76.787268,Assistant State's Attorney- Major Crimes,https://www.adzuna.com/details/5852503781?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzgxIn0.5mF6JdLTnncUgq_HuVaaciGNh8HzT0HmY19V_Rz8LCs,96500.0,38.795358,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Prince George’s County Government,"['US', 'Maryland', ""Prince George's County"", 'Marlboro']",Adzuna::API::Response::Location,"Marlboro, Prince George's County",Adzuna::API::Response::Category,Legal Jobs,legal-jobs,full_time,
Coast Medical Service is a nationwide travel nursing & allied healthcare staffing agency dedicated to providing an elite traveler experience for the experienced or first-time traveler. Coast is featured on Blue Pipes' 2023 Best Travel Agencies and named a 2022 Top Rated Healthcare Staffing Firm & 2023 First Half Top Rated Healthcare Staffing Firm by Great Recruiters. Please note that pay rate may differ for locally based candidates. Please apply here or contact a recruiter directly to learn mor…,2026-08-22T09:35:36Z,44949.12,5852503784,-82.96776,RN - Intensive Care Unit (ICU),https://www.adzuna.com/details/5852503784?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzg0In0.AJo6CcypUcUpdTo_jyKmMr6wW3Q0akKBHnY4z40tMp0,44949.12,40.82658,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Avita,"['US', 'Ohio', 'Crawford County', 'Bucyrus']",Adzuna::API::Response::Location,"Bucyrus, Crawford County",Adzuna::API::Response::Category,HR & Recruitment Jobs,hr-jobs,part_time,
"Full time and Part time positions available! Pay is DOE but you can get raises quickly by completing training. Cooks also included in tip out. Position overview: IHOP Cooks are responsible for the preparation and cooking of food products accurately and with minimal waste. Duties of this position include learning and applying all IHOP-specialized galley terminology, plating, menu items and procedures according to company standards. IHOP Cooks are expected to set up equipment, verify stock, and m…",2026-08-22T09:35:35Z,41600.0,5852503780,-119.139333,Linecook,https://www.adzuna.com/details/5852503780?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc4MCIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.5hUMs1unEDCmFnhGDTlV_BlZQxsSgycnf1HTwxNYIz4,35630.0,46.257294,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,IHOP,"['US', 'Washington', 'Franklin County', 'Pasco']",Adzuna::API::Response::Location,"Pasco, Franklin County",Adzuna::API::Response::Category,Hospitality & Catering Jobs,hospitality-catering-jobs,full_time,
"Full-time Description About QBE, LLC QBE, LLC is a small business dedicated to delivering innovative technology, cybersecurity, and mission-support solutions to federal government customers. Our experienced professionals work closely with our customers to solve complex challenges, protect critical information, and support essential government missions. At QBE, we turn the possible into the proven. Overview QBE, LLC is seeking a Cloud Engineer - Mid - Cloud Security Engineering to design, implem…",2026-08-22T09:35:35Z,115000.0,5852503778,-77.636381,Cloud Engineer - Mid - Cloud Security Engineering,https://www.adzuna.com/details/5852503778?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzc4In0.Vq6pmDnbM2DE38HdUnX4pJot01P3U94mnT3iWZb1Osc,100000.0,38.812059,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Qbe,"['US', 'Virginia', 'Prince William County', 'Haymarket']",Adzuna::API::Response::Location,"Haymarket, Prince William County",Adzuna::API::Response::Category,IT Jobs,it-jobs,full_time,
"Description As a Technology Senior Auditor (Associate) within the Infrastructure Platforms (IP) Technology Audit team, you will play a key role in executing Infrastructure Platform audits in a dynamic, fast-paced environment. You will be responsible for leading audit testing, partnering closely with stakeholders, identifying control and risk themes, and driving opportunities to enhance audit quality and efficiency, while contributing to a culture of integrity, respect, and innovation. This role…",2026-08-22T09:35:34Z,145000.0,5852503774,-74.0447,Internal Audit Technology Senior Auditor Associate - Infrastructure Platforms,https://www.adzuna.com/details/5852503774?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzc0In0.uNHHeYTMm_da2gTNyOtJqryWpvdjNLZAGLgjKMYEh2Y,99750.0,40.721832,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,JPMorganChase,"['US', 'New Jersey', 'Hudson County', 'Jersey City']",Adzuna::API::Response::Location,"Jersey City, Hudson County",Adzuna::API::Response::Category,IT Jobs,it-jobs,full_time,
"Full-time Description The Senior Buyer – Electro-Mechanical Products is responsible for the development, planning and execution of procurement strategies for precision electro-mechanical commodities and supports related administrative functions to maintain AS9100 certification. Strong working knowledge of MRP and best purchasing practices are a must. Requirements Essential Functions Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.…",2026-08-22T09:35:34Z,85015.17,5852503775,-70.847671,Senior Buyer - Electro-Mechanical Products,https://www.adzuna.com/details/5852503775?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzc1In0.CD342IBHo6nyJJ8vIZkgVxV84NAFYZmy9yvR-mAwK3U,85015.17,42.572058,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Harmonic Drive,"['US', 'Massachusetts', 'Essex County', 'Beverly']",Adzuna::API::Response::Location,"Beverly, Essex County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,full_time,permanent
"At Chick-fil-A, the Team Member role is more than just a job; it's an opportunity. In addition to working directly for an independent Owner/Operator, Team Members gain life experience that goes far beyond serving a great product in a friendly environment. Team Members are responsible for providing an exceptional dining experience for everyone they serve each day and for ensuring all guests receive signature Chick-fil-A service and food. Position Type: Full-time and Part-time Our Benefits Includ…",2026-08-22T09:35:33Z,27504.08,5852503772,-90.603349,Front of House Team Member,https://www.adzuna.com/details/5852503772?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc3MiIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.1KIcZRULNsPAi5g6RjrSXz5gJUKHpbdlDAtC6rb4p-c,27504.08,41.572979,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Chick-fil-A,"['US', 'Iowa', 'Scott County', 'Davenport']",Adzuna::API::Response::Location,"Davenport, Scott County",Adzuna::API::Response::Category,Hospitality & Catering Jobs,hospitality-catering-jobs,full_time,
"Our promise to you: Joining AdventHealth is about being part of something bigger. It’s about belonging to a community that believes in the wholeness of each person, and serves to uplift others in body, mind and spirit. AdventHealth is a place where you can thrive professionally, and grow spiritually, by Extending the Healing Ministry of Christ. Where you will be valued for who you are and the unique experiences you bring to our purpose-minded team. All while understanding that together we are e…",2026-08-22T09:35:33Z,126859.0,5852503769,,Assistant Nurse Manager PCU Nights 6:45pm to 7:15am,https://www.adzuna.com/details/5852503769?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc2OSIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.W2S7KcuEron5uozFKg7tpW-Z1ki0lM8XeyojGAveBcs,68203.0,,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,AdventHealth,['US'],Adzuna::API::Response::Location,US,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"Mortgage Field Inspector (1099 Independent Contractor) Flexible Schedule | Part-Time or Full-Time | Weekly Pay GIS Field Services, Inc. has been in the mortgage field inspection industry for over 20 years and is based out of Dallas, TX. Please visit our website to learn more about us and the industry. www.gisfieldservices.com . We are seeking reliable and detail-oriented Independent Mortgage Field Inspectors to perform property inspections on behalf of mortgage companies. No licensing or certif…",2026-08-22T09:35:33Z,54020.07,5852503768,-83.653224,Mortgage Field Inspector,https://www.adzuna.com/details/5852503768?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzY4In0.L7yWg1vePaH1yW8XDRL2WSVoN1eHlaApr7aDslUPQrY,54020.07,31.706013,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,GIS Field Services,"['US', 'Georgia', 'Turner County', 'Ashburn']",Adzuna::API::Response::Location,"Ashburn, Turner County",Adzuna::API::Response::Category,Property Jobs,property-jobs,part_time,
"Models and delivers a distinctive and delightful customer experience. Registers sales on assigned cash register, provides customers with courteous, fair, friendly, and efficient checkout service. Customer Experience Engages customers and patients by greeting them and offering assistance with products and services. Resolves customer issues and answers questions to ensure a positive customer experience. Models and shares customer service best practices with all team members to deliver a distincti…",2026-08-22T09:35:32Z,29573.44,5852503767,-102.366524,Customer Service Associate - Temporary,https://www.adzuna.com/details/5852503767?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc2NyIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.cfTkRhWHESAH1CQQcLS-H9OcPeYIjX1tl2l8o9NfCEA,29573.44,31.846327,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Walgreens,"['US', 'Texas', 'Ector County', 'Odessa']",Adzuna::API::Response::Location,"Odessa, Ector County",Adzuna::API::Response::Category,Retail Jobs,retail-jobs,,contract
"MISSION The mission of the Christa McAuliffe Charter School is to cultivate within each member of a diverse student body an intense commitment to self and community, the courage and insight to set high standards for academic and personal success, and the knowledge, skills, and attitudes to achieve those standards. ABOUT THE SCHOOL The Christa McAuliffe Charter School (mcauliffecharter.org) is an EL Education (eleducation.org) school for 340 scholars in grades 6-8 with a hands-on curriculum that…",2026-08-22T09:35:31Z,72881.66,5852503759,-71.435188,Anticipated Opening - Special Education Teacher - Charter Middle School,https://www.adzuna.com/details/5852503759?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc1OSIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.9nMlzP0HLqekhBX6MfvHJ7x6o_eRSDYoJUZgyI3O1Mw,72881.66,42.323168,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Christa McAuliffe Charter School,"['US', 'Massachusetts', 'Middlesex County', 'Framingham']",Adzuna::API::Response::Location,"Framingham, Middlesex County",Adzuna::API::Response::Category,Teaching Jobs,teaching-jobs,full_time,
"TITLE: Staff Accountant DEPARTMENT: Business REPORTS TO: Chief Financial Officer GENERAL SUMMARY: Under the direction of the Chief Financial Officer, the Staff Accountant is responsible for creating timely and accurate financial statements, and monitoring internal financial controls, as well as overseeing maintenance of Phipps’ accounting and financial records. Phipps Conservatory and Botanical Gardens is an equal opportunity employer that is committed to attracting and retaining a diverse staf…",2026-08-22T09:35:31Z,136469.23,5852503762,-79.95492,Staff Accountant,https://www.adzuna.com/details/5852503762?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc2MiIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.KOBcTycBBGQ-aubMKQdJi_1WsD_0NPNeOseXQBnIcsQ,136469.23,40.44432,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Phipps Conservatory,"['US', 'Pennsylvania', 'Allegheny County', 'Oakland']",Adzuna::API::Response::Location,"Oakland, Allegheny County",Adzuna::API::Response::Category,Accounting & Finance Jobs,accounting-finance-jobs,full_time,contract
"BASIC FUNCTIONS: This position performs complex research, design, and software development assignments within a software functional area or product line, and provides direct input to project plans, schedules, and methodology in the development of cross-functional software products. This position performs software design — typically across multiple systems; mentors more-junior members of the team; and talks to users/customers and translates their requests into solutions. QUALIFICATIONS: • 5 year…",2026-08-22T09:35:30Z,158800.0,5852503754,-78.631362,Senior Software Engineer II,https://www.adzuna.com/details/5852503754?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzU0In0.fqN-vFfzUrNJlYhcQhy8fL-AUaZAc7CepIoh2Kj_ClI,95300.0,35.77443,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,LexisNexis,"['US', 'North Carolina', 'Wake County', 'Raleigh']",Adzuna::API::Response::Location,"Raleigh, Wake County",Adzuna::API::Response::Category,IT Jobs,it-jobs,full_time,
"Monday–Friday | 3:00 PM – 11:30 PM | No Weekends Emerald Trace | Elsmere, KY Work-Life Balance in Long-Term Care Really Does Exist. If you're looking for a nursing position where you can provide exceptional care without sacrificing every evening or weekend , we'd love to meet you. Emerald Trace is seeking a compassionate Registered Nurse (RN) or Licensed Practical Nurse (LPN) to join our team on 2nd shift (3:00 PM – 11:30 PM), Monday through Friday . No weekends required. As a nonprofit, missio…",2026-08-22T09:35:29Z,89440.0,5852503752,-84.597278,RN/LPN – Monday–Friday 2nd Shift | No Weekends | Emerald Trace,https://www.adzuna.com/details/5852503752?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzc1MiIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.5Q4IBuqC9srFrDKKv42s7MmFTyntgzsJ9sWRNPO2WKQ,74880.0,39.007304,0,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Rosedale Green & Emerald Trace,"['US', 'Kentucky', 'Kenton County', 'Elsmere']",Adzuna::API::Response::Location,"Elsmere, Kenton County",Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"Description Merchandiser (Part-Time) About Footprint Solutions For more than 20 years, Footprint Solutions has partnered with some of the nation's leading retailers to provide merchandising, installation, and in-store support services. We help retailers keep their stores organized, stocked, and customer-ready . What You'll Do As a Merchandiser, you will independently service retail locations within your assigned area to ensure products and displays meet client standards. Responsibilities may in…",2026-08-22T09:35:28Z,23168.27,5852503744,-83.252655,Part Time Merchandiser,https://www.adzuna.com/details/5852503744?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzQ0In0.njqCAMopmUvxaTonP7heZXM2JtDEa1qedXMzuIV5qtQ,23168.27,31.714908,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,footprint Solutions,"['US', 'Georgia', 'Ben Hill County', 'Fitzgerald']",Adzuna::API::Response::Location,"Fitzgerald, Ben Hill County",Adzuna::API::Response::Category,Part time Jobs,part-time-jobs,part_time,
"We’re hiring now! Enjoy flexible opportunities across daytime, evening, and overnight shifts—find the schedule that works for you. IHOP is searching for smiling faces to provide exceptional guest service! Responsibilities ● Greeting, seating, and escorting guests. ● Providing menu recommendations and additional information. ● Upselling additional products when appropriate. ● Taking orders using software, order slips, or by memorization. ● Communicating order details to the kitchen staff. ● Deli…",2026-08-22T09:35:28Z,24363.53,5852503746,-82.494033,Server,https://www.adzuna.com/details/5852503746?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMXNYb3lTNmU4UkdVNkxJanlhUm53QSIsImkiOiI1ODUyNTAzNzQ2In0.nn52_N5gbs3Umvg2cVs19_csPj-3XaNVJzfYa6QTFlQ,24363.53,27.963899,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,IHOP,"['US', 'Florida', 'Hillsborough County', 'Tampa']",Adzuna::API::Response::Location,"Tampa, Hillsborough County",Adzuna::API::Response::Category,Hospitality & Catering Jobs,hospitality-catering-jobs,full_time,
"Are you looking to power the next leap in the exciting world of advanced electronics? Do you want to help solve problems that drive success in the rapidly evolving technology and connectivity landscape? Then bring your problem-solving, passion, and creativity to help us power the next leap in electronics. At Qnity , we’re more than a global leader in materials and solutions for advanced electronics and high-tech industries – we’re a tight-knit team that is motivated by new possibilities, and al…",2026-08-22T09:35:22Z,100911.23,5852503722,-84.351332,Manufacturing Technology Engineer,https://www.adzuna.com/details/5852503722?utm_medium=api&utm_source=abfa41a4,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg1MjUwMzcyMiIsInMiOiIxc1hveVM2ZThSR1U2TElqeWFSbndBIn0.t_x2grXoexdaCV71QpaQdQI0CrSVPpm2y8qKxHYj0T0,100911.23,43.582956,1,Adzuna::API::Response::Job,Adzuna::API::Response::Company,Qnity Electronics,"['US', 'Michigan', 'Midland County', 'Midland']",Adzuna::API::Response::Location,"Midland, Midland County",Adzuna::API::Response::Category,Engineering Jobs,engineering-jobs,full_time,
