description,latitude,redirect_url,created,contract_time,salary_is_predicted,salary_max,__CLASS__,adref,longitude,id,title,salary_min,company.__CLASS__,company.display_name,location.display_name,location.__CLASS__,location.area,category.tag,category.__CLASS__,category.label,contract_type
"Boston Government Services, LLC. (BGS) has created this Evergreen Talent Pool post for gathering qualified candidates for a position relating to Lead Electrical Engineer to join our team in Paducah, KY. This position is contingent upon contract award. BGS is an engineering, technology, and security firm helping to advance missions of national importance for government programs, national laboratories, national security facilities, nuclear operations, and complex projects. We support clients at e…",36.021034,https://www.adzuna.com/land/ad/5812417460?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=078849D7AD07E1D8883654D2EA773372F547D9F7,2026-07-23T11:00:38Z,,1,83137.48,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzQ2MCIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.6E-hE7grQqZchXgtS9Mr0T36HH3xdA1Z2lgQPXlTiRY,-84.252726,5812417460,Lead Electrical Engineer with Security Clearance,83137.48,Adzuna::API::Response::Company,"Boston Government Services, LLC","Oak Ridge, Anderson County",Adzuna::API::Response::Location,"['US', 'Tennessee', 'Anderson County', 'Oak Ridge']",engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,
We’re looking for people who put their innovation to work to advance our success – and their own. Join an organization that ensures a more secure world through connecting and protecting our customers with inventive electrical solutions. Support the day-to-day production goals by ensuring the assigned area goals are met through problem support and maintaining flow of the line. Communicate with a variety of resources to resolve problems and ensure uninterrupted production flow to assigned area(s)…,45.197743,https://www.adzuna.com/details/5812417428?utm_medium=api&utm_source=abfa41a4,2026-07-23T11:00:34Z,full_time,0,92352.0,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLUhtYXRxbUc4UkdPVG9rQWFIeG9YUSIsImkiOiI1ODEyNDE3NDI4In0.kbn-Fd_nXTOO_4z-CZXa-mz79PhsoslwPkjXiWpet-U,-93.387176,5812417428,Assembly Operator Lead - 3rd Shift,49712.0,Adzuna::API::Response::Company,nVent,"Anoka, Anoka County",Adzuna::API::Response::Location,"['US', 'Minnesota', 'Anoka County', 'Anoka']",manufacturing-jobs,Adzuna::API::Response::Category,Manufacturing Jobs,
"POINT BLANK TECHNOLOGIES (Point Blank) is now hiring with a first-class salary (W2/1099), up to an 8% employer match on 401k plan, 6 weeks PTO, Dental, Vision and Medical and a $3,000 referral bonus for each new hire you bring to PBT! Newly added Incentives: We are now offering Training Certifications and College Tuition Assistance. See our Point Blank Website About Us/Benefits/Job Openings: https://teampointblank.com/ Looking for a full stack developer supporting a backend development team foc…",38.883702,https://www.adzuna.com/land/ad/5812417416?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=567EAAA103F61467448D3CC4E94E8796FB9D501A,2026-07-23T11:00:23Z,,1,123721.23,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzQxNiIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.QWPq8d_kQAMLJrRQZl1qqbUI9Dy0K9JYAJBZ7JqG7y0,-77.428438,5812417416,Software Engineer (SWE) with Security Clearance,123721.23,Adzuna::API::Response::Company,Point Blank Technologies,"Chantilly, Fairfax County",Adzuna::API::Response::Location,"['US', 'Virginia', 'Fairfax County', 'Chantilly']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Job Title: Sr. Web Application Developer Location: Indianapolis, IN (Initial Hybrid Schedule) Duration: 6 - 12 Months Contract to Hire Work Schedule : 9x80 A Clearance : Ability To Obtain Active Public Trust Pay Range : $55 - $65/hr on W2 without benefits Note : The position is hybrid and will be in office 2 to 3 days a week to start. Candidates can go remote once the team feels like they are settled in. Candidates will be able to start without the Public Trust in roughly a 2 week turn around (…",39.775104,https://www.adzuna.com/land/ad/5812417407?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=3225083D996F50DE6DF57E33D45265C977FC457A,2026-07-23T11:00:21Z,,1,167167.81,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLUhtYXRxbUc4UkdPVG9rQWFIeG9YUSIsImkiOiI1ODEyNDE3NDA3In0.OoobrOYNrDiCwdyqnAfi2401wFE680Q2cKJO_4exYWc,-86.109475,5812417407,Sr. Web Application Developer with Security Clearance,167167.81,Adzuna::API::Response::Company,Artech Information Systems,"Indianapolis, Marion County",Adzuna::API::Response::Location,"['US', 'Indiana', 'Marion County', 'Indianapolis']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Request ID: 55462-1 Title: Cloud Engineer Locations: Linthicum Heights, MD (full-time on-site) Duration: 6 Months Contract with possible extension Rate Range: $90 - $100/Hour on W2 (All inclusive) Clearance Requirement: Active Secret Required Job Description: The Cloud Engineer plays a critical role in supporting the federal government by focusing primarily on migrating sensitive workloads to the cloud. This hands-on position requires expertise in designing, implementing, and maintaining cloud …",39.20964,https://www.adzuna.com/land/ad/5812417405?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=1C94F8CF231C99647B17ADA7F2A70CBB6A0CDFF4,2026-07-23T11:00:21Z,,1,138204.62,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLUhtYXRxbUc4UkdPVG9rQWFIeG9YUSIsImkiOiI1ODEyNDE3NDA1In0.de8yFN__BV2l1REDmgC2H7aFbqy-7Wc02nqi26DF6v4,-76.66818,5812417405,Cloud Engineer with Security Clearance,138204.62,Adzuna::API::Response::Company,Artech Information Systems,"Linthicum Heights, Anne Arundel County",Adzuna::API::Response::Location,"['US', 'Maryland', 'Anne Arundel County', 'Linthicum Heights']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Product Manager, Contact Center Modernization (Amazon Connect Migration Healthcare Payer) Location: St. Louis, MO / Dallas, TX / New York, NY- Hybrid C2C or W2 Position Summary We are seeking a seasoned Senior Product Manager to lead the strategic migration of our legacy contact center platforms (e.g., Avaya) to Amazon Connect, with a specific focus on healthcare payer operations. This role will be responsible for delivering scalable, cloud-native, and intelligent contact center solutions that …",32.760168,https://www.adzuna.com/land/ad/5812417360?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=1B0FD57B60FFE17AC024C6FBE96E4D926BEB5592,2026-07-23T11:00:20Z,,1,172985.77,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM2MCIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.OEeS8DP5cak6b9eWqusDr8VktEx-tsJ5CxSabHd0zbU,-96.765058,5812417360,"Product Manager, Contact Center Modernization (Amazon Connect Migration Healthcare Payer)",172985.77,Adzuna::API::Response::Company,Headway Tek Inc,"Highland Park, Dallas",Adzuna::API::Response::Location,"['US', 'Texas', 'Dallas', 'Highland Park']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Responsibilities Administering the Multiple backup Management Console Server and command line exposure for IBM, EMC, Veritas and VEEAM. Act as the Level 3 escalation point for complex Veeam Backup & Replication issues. Perform root cause analysis (RCA) and implement permanent solutions. Install, configure, upgrade, and maintain Veeam Backup & Replication environments. Manage backup, replication, restore, and disaster recovery operations. Troubleshoot backup failures, repository issues, proxy se…",38.642552,https://www.adzuna.com/land/ad/5812417373?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=C4A7D8A1F3312D287DB27AD51DC37ED8E7BEFC23,2026-07-23T11:00:20Z,,1,100597.02,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM3MyIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.mbHwivQeO0-cJWEeHJLb7VVtKTTh-siS8pXcwwvsda0,-90.323726,5812417373,Backup Consultant,100597.02,Adzuna::API::Response::Company,HCLTech,"Clayton, Saint Louis County",Adzuna::API::Response::Location,"['US', 'Missouri', 'Saint Louis County', 'Clayton']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Requirements 8 or more years of experience performing interface and data analysis within large-scale healthcare IT systems. Proficiency in designing XML, XSD schemas, SOAP/REST web services, and FHIR API specifications. Experience with managing secure file transfer protocols including SFTP, PGP encryption, and Unix/Linux systems. Experience with database verification techniques utilizing SQL to perform rigorous data validations. Experience in supporting and troubleshooting application integrati…",42.281819,https://www.adzuna.com/land/ad/5812417372?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=B73019902F35B8131A1FDB655EAEF74B765A1A1C,2026-07-23T11:00:20Z,,1,148722.4,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM3MiIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.bdNCPm02lucaoT3ru-W_QrtU_BsO3NGs9bJiGqzov3U,-71.026731,5812417372,Senior Interface Analyst,148722.4,Adzuna::API::Response::Company,"Resourcesoft, Inc.","Norfolk Downs, Norfolk County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Norfolk County', 'Norfolk Downs']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Associate UX Designer Summit, NJ (Hybrid Remote Required) On-Site role $32-37/hr (negotiable, depends on experience) ABOUT THE ROLE Our Client is seeking an Associate UX Designer to support the development of internal tools for non-technical, business-facing users such as chemists, formulators, and marketing team members. In this hybrid role based in Summit, NJ, you will focus on simplifying and enhancing user experiences by applying core UX principles, conducting usability testing, and iterati…",40.288232,https://www.adzuna.com/land/ad/5812417364?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=3520BA4DD78C549D796B63D97F96878B16F753C9,2026-07-23T11:00:20Z,,1,114463.05,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM2NCIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.WBr_a_PsQTPwTpQbN1so9ptUUQxRY-CifRVqWheQJlY,-74.617769,5812417364,UX Designer,114463.05,Adzuna::API::Response::Company,Brooksource,"New Jersey, US",Adzuna::API::Response::Location,"['US', 'New Jersey']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Title: Full Stack Developer Experience Range: 3 - 6 Years Compensation: 90000 - 120000 USD / Yearly Employment Type: Direct Hire (W2), Permanent, Full-Time Work Locations: New York, New York, USA Remote Allowed: Yes Notice Period: 4 Weeks Minimum Education: Bachelors Domain Experience: Software Product Development, Web Application Development, APIs and Platform Engineering Roles and Responsibilities: - Design, develop, and maintain web applications and APIs using modern frameworks and technolog…",,https://www.adzuna.com/land/ad/5812417359?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=2F0EFE4F2F187364A3F504856690539799F61C38,2026-07-23T11:00:20Z,,1,87584.53,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM1OSIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.lT1vtt0cRCa2NkXhtxOa46mHQOcw2PO8w7EdP_WccLo,,5812417359,Full Stack Developer,87584.53,Adzuna::API::Response::Company,Resource Informatics Group,US,Adzuna::API::Response::Location,['US'],it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Role: SDET or QA Location: Chicago, IL Need locals to IL Must-Have Skills API Automation DevOps Java System Analysis Client Notes Look for candidates with 9 years of Software Development Engineer in Test (SDET) or QA Automation Engineering experience, preferably in enterprise environments. The ideal candidate should have a strong Java development background (5 years) and hands-on experience designing, building, and maintaining test automation frameworks, not just writing automation scripts. Des…",41.9613,https://www.adzuna.com/land/ad/5812417370?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=006E976EC093B678D39D425183974A2439201AF3,2026-07-23T11:00:20Z,,1,119373.66,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLUhtYXRxbUc4UkdPVG9rQWFIeG9YUSIsImkiOiI1ODEyNDE3MzcwIn0.ERAgzu9LVMWhA1IsAxMmQzWdxh5MMfG74HwitJSe3yA,-87.8849,5812417370,SDET or QA Automation,119373.66,Adzuna::API::Response::Company,Purplejack Technologies LLC,"Schiller Park, Cook County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Cook County', 'Schiller Park']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Job Requirements 5 years of experience in internal IT audit and technology risk management within the alternative asset management sector. Proficiency in IT General Controls (ITGC) frameworks and risk-based audit methodologies for investment platforms. Experience with auditing the Software Development Lifecycle (SDLC) and modern application development governance. Experience in evaluating IT change management protocols, release procedures, and production deployment controls. Experience with ass…",,https://www.adzuna.com/land/ad/5812417363?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=199462D811DEDC789131A8C439149B77DBCD9EC5,2026-07-23T11:00:20Z,,1,106434.29,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLUhtYXRxbUc4UkdPVG9rQWFIeG9YUSIsImkiOiI1ODEyNDE3MzYzIn0.zYRrWvrQrnWbvaeFrkfdBsLt-DUsyU_Sx8C7EEBhuhs,,5812417363,Asset Management Internal Audit Consultant,106434.29,Adzuna::API::Response::Company,"Resourcesoft, Inc.",US,Adzuna::API::Response::Location,['US'],it-jobs,Adzuna::API::Response::Category,IT Jobs,
"ole: DCA IT Service Desk Technician (807831) Location: Atlanta, GA - Hybrid - Locals LOCAL CANDIDATES ONLY - Selected candidates will be expected to work onsite when required. Job Description: Short Description : Under general supervision, provides assistance to computer system users. Answers questions or resolves computer problems for clients in person, via telephone, email, or from remote locations. Agency: Department of Community Affairs (DCA) The IT Service Desk Technician provides first- a…",33.7487,https://www.adzuna.com/land/ad/5812417362?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=386D40DAE5D2A53AAB629755555E795EFF155877,2026-07-23T11:00:20Z,,1,47574.08,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM2MiIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.45UIgq0idqRVqoZ53nOfm7eGdblXnNHpK71oYmvxxxY,-84.3879,5812417362,"IT Service Desk Technician - Atlanta, GA - Hybrid - Locals Only",47574.08,Adzuna::API::Response::Company,SriLakshmiTech,"Northlake, DeKalb County",Adzuna::API::Response::Location,"['US', 'Georgia', 'DeKalb County', 'Northlake']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"84 months experience with a Government Taxation organization, which includes technical design, development, maintenance, and end user support of complex Tax Accounting Systems. 84 months experience with COBOL programming in an IBM Mainframe Environment. 36 months experience with IBM DB2 for LUW working with large databases (1TB and larger) and using XQuery. 84 months experience with IDMS and DMLO in a mainframe environment. 84 months experience with APS (Application Productivity System) and CIC…",42.64469,https://www.adzuna.com/land/ad/5812417351?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=A5CD1D815889128D72786548112EE88323A827AD,2026-07-23T11:00:19Z,,1,142926.62,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLUhtYXRxbUc4UkdPVG9rQWFIeG9YUSIsImkiOiI1ODEyNDE3MzUxIn0.qqpo-QU1CPptiOlZlpS2g6HydrlQazcTXw4GeSBR0U0,-73.80007,5812417351,Mainframe COBOL consultant - PP Copy and 3 references are mandatory,142926.62,Adzuna::API::Response::Company,Bits & Bytes Technology Solutions,"Elsmere, Albany County",Adzuna::API::Response::Location,"['US', 'New York', 'Albany County', 'Elsmere']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"We are looking for a Senior Boomi & EDI Developer who can provide both technical leadership and team coordination. This role requires strong experience with Boomi integration development, EDI processes, and the ability to manage and guide an offshore team while working closely with business and technical stakeholders. Key Responsibilities Act as the primary liaison between the Integration Manager and the offshore development team. Review technical requirements, clarify expectations, and ensure …",40.041105,https://www.adzuna.com/land/ad/5812417345?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=9E5135379836D9A7C1FDA3C5A608DD7BA2E2B55B,2026-07-23T11:00:19Z,,1,111786.25,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM0NSIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.3akRHeDYSCVpoHWIaUC9kVZIuyWXbTSQN04wWMeWK08,-82.965488,5812417345,Dell Boomi Developer,111786.25,Adzuna::API::Response::Company,Everest Technologies,"Minerva Park, Franklin County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Franklin County', 'Minerva Park']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Job Description: RPA/Automation Analyst (Contract) Role Overview We are seeking a contract Sr. RPA/Automation Analyst to support an evaluation of current automation tooling and its viability against Microsoft's Power Automate/Power Platform ecosystem. This role will assess existing UI Path implementations, identify functional gaps and overlaps, and provide a clear analysis to support a platform migration decision. Contract Length: Through end of March Start: Immediate Key Responsibilities Analy…",33.636364,https://www.adzuna.com/land/ad/5812417343?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=CD7E26960276B12E0F87BBCB469ABEA9E1CF92AF,2026-07-23T11:00:19Z,,1,117016.77,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM0MyIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.za5Et-7WK-kR-7K0jCQCU0KgWkSlA4lrL92lMtKAgkg,-91.857353,5812417343,Senior UI Path Developer,117016.77,Adzuna::API::Response::Company,Brooksource,"Tennessee, Drew County",Adzuna::API::Response::Location,"['US', 'Arkansas', 'Drew County', 'Tennessee']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Job Description: RPA/Automation Analyst (Contract) Role Overview We are seeking a contract RPA/Automation Analyst to support an evaluation of current automation tooling and its viability against Microsoft's Power Automate/Power Platform ecosystem. This role will assess existing UI Path implementations, identify functional gaps and overlaps, and provide a clear analysis to support a platform migration decision. Contract Length: Through end of March Start: Immediate RKey Responsibilities Analyze …",,https://www.adzuna.com/land/ad/5812417347?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=DF50A72F2E8EE106B0C00977F6C96E1230F9A121,2026-07-23T11:00:19Z,,1,109648.58,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM0NyIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.TUOU_3Sh4pEqyTmt3TEC8ZGfL-OilbiEOd7lfYLRqzU,,5812417347,Intermediate UI Path Developer,109648.58,Adzuna::API::Response::Company,Brooksource,US,Adzuna::API::Response::Location,['US'],it-jobs,Adzuna::API::Response::Category,IT Jobs,
"This opportunity is for a Senior MLOps Engineer role with one of our clients. Please find the job description below. Position Overview : Role: Sr MLOps Engineer Location: Remote[ Candidates must work PST hours ] Duration: 12Months Contract Role Rate: $60/hr on W2 | $70/hr on C2C Job Summary The Sr. Engineer, Machine Learning Operations, with minimal guidance, works independently and with crossfunctional partners including biostatisticians, bioinformatics scientists, AI scientists, and software …",,https://www.adzuna.com/land/ad/5812417338?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=A5726FDCA469A5DB26FEE12CEDAA59D417F5737D,2026-07-23T11:00:19Z,,1,126223.52,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzMzOCIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.CU8VZGq_SjA-tuiXaAJYdbmlgxVbrjdzxxDOZPCLztw,,5812417338,Senior MLOps Engineer- Remote[Candidates must work PST hours],126223.52,Adzuna::API::Response::Company,OMG Technologies,US,Adzuna::API::Response::Location,['US'],it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Senior Systems Operations Engineer Location: Hybrid Pay Rate: $39-$43/hr About the Role Our client, a leading electric utility company, is seeking a Senior Systems Operations Engineer to support its Distribution Operations organization. This team is responsible for operating the electric distribution grid in real time and ensuring the reliability of critical operational systems used by the control center. The Systems Operations team maintains and enhances the applications and models that enable…",44.070506,https://www.adzuna.com/land/ad/5812417349?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=E332AF4B0F16C7690E76564DAC9DDA6C1322BE96,2026-07-23T11:00:19Z,,1,98926.88,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM0OSIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.Gt1mB2e7vlaN7vpS7MX_Wutk7MsU_uTEIjFDLZG2y7w,-85.197741,5812417349,Engineer III,98926.88,Adzuna::API::Response::Company,Brooksource,"Michigan, US",Adzuna::API::Response::Location,"['US', 'Michigan']",engineering-jobs,Adzuna::API::Response::Category,Engineering Jobs,
"Position : Senior Mainframe Technical Lead - Cobol Holmdel, NJ -on Site Senior Technical Lead with Mainframe - Cobol, DB2, VSAM, JCL, CICS Job Summary The Senior Technical Lead will be responsible for leading technical projects related to Mainframe technologies such as Cobol, DB2, VSAM, JCL, and Mainframe CICS. They will play a key role in ensuring the successful delivery of mainframe solutions and will be involved in all aspects of the development lifecycle. (1.) Key Responsibilities 1. Lead a…",40.383959,https://www.adzuna.com/land/ad/5812417353?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=21B57A2F0B3BB9DE8164D9F73076AA2D842AC126,2026-07-23T11:00:19Z,,1,138163.77,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLUhtYXRxbUc4UkdPVG9rQWFIeG9YUSIsImkiOiI1ODEyNDE3MzUzIn0.Fvl5V8AiDQSd0mLZie5FK-1s7jVsJabFE4OfQD4RliQ,-74.170563,5812417353,Mainframe COBOL Technical Lead,138163.77,Adzuna::API::Response::Company,Saim Technologies,"Holmdel, Monmouth County",Adzuna::API::Response::Location,"['US', 'New Jersey', 'Monmouth County', 'Holmdel']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"We are seeking a skilled IT Service Desk Technician to join our technical support team! Quick Role Highlights Location: Atlanta, GA (Local candidates only) Work Arrangement: Hybrid Interview Process: Web Cam or In-Person Key Technical Skills We're Looking For To hit the ground running, you should be experienced with: Core Systems & Identity Windows 11 & Microsoft 365 (Outlook, Teams, OneDrive, SharePoint) Active Directory & Microsoft Entra ID (Azure AD) Multi-Factor Authentication (MFA) & Passw…",33.7487,https://www.adzuna.com/land/ad/5812417334?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=CE55C620562095E003F8A35C5B6FDE56CE692469,2026-07-23T11:00:19Z,,1,58421.71,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLUhtYXRxbUc4UkdPVG9rQWFIeG9YUSIsImkiOiI1ODEyNDE3MzM0In0.uuQ7ADizshC10FyWG3BT9SgLfJyS6p9zC0o2ZO0wX28,-84.3879,5812417334,DCA IT Service Desk Technician,58421.71,Adzuna::API::Response::Company,Stellar Professionals LLC,"Northlake, DeKalb County",Adzuna::API::Response::Location,"['US', 'Georgia', 'DeKalb County', 'Northlake']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Education Bachelor’s degree or master’s degree in business administration, Communications, Information Systems, or other related field is required. Equivalent work experience may substitute for the educational requirement. Experience 1. A minimum of 3 to 5 years of solid business/systems analysis experience and software development projects is required. 2. Proficiency in Microsoft Office Suite, particularly Excel, Word, PowerPoint is required. 3. Proficiency in core Identity and Access Manageme…",30.438056,https://www.adzuna.com/land/ad/5812417358?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=14EEE3E8B951ABCB6A63B170D3F666B09AFD9771,2026-07-23T11:00:19Z,,1,118800.7,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM1OCIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.0MCDbNCSfisSoUyh7GeaoBRk4P6GM1Wz_RewLaMfwQ8,-84.280833,5812417358,Business Analyst,118800.7,Adzuna::API::Response::Company,NovaLink Solutions,"Tallahassee, Leon County",Adzuna::API::Response::Location,"['US', 'Florida', 'Leon County', 'Tallahassee']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Role: Senior FHIR / Da Vinci Developer With Hands-On Delivery Experience (Can Write Code)- Remote - Contract Duration: 3 4 Months (8 to 10 hours a day) Must Have Technical/Functional Skills Title: Senior FHIR / Da Vinci Implementation Architect (CMS-0057-F) Position Summary We are seeking a highly experienced Da Vinci / FHIR Implementation Architect to lead the design, development, and delivery of CMS-0057-F compliance solutions. The ideal candidate will have hands-on experience implementing an…",,https://www.adzuna.com/land/ad/5812417354?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=658AE5B44000790D83C27C7F42735BCC89B2E5B9,2026-07-23T11:00:19Z,,1,204278.9,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgxMjQxNzM1NCIsInMiOiItSG1hdHFtRzhSR09Ub2tBYUh4b1hRIn0.XelwQ9MPA0Lx8qnscay0XhetrSpd_YyvFBjiZ_SL3vs,,5812417354,Senior FHIR / Da Vinci Developer With Hands-On Delivery Experience (Can Write Code)- Remote,204278.9,Adzuna::API::Response::Company,Ztek Consulting,US,Adzuna::API::Response::Location,['US'],it-jobs,Adzuna::API::Response::Category,IT Jobs,
"Job Title: AI Engineering Leader Location: North Carolina or Atlanta, GA (Onsite) Job Type: Full Time Experience: 15–17 years Job Overview Our client is seeking a battle-tested AI Engineering Leader who sits at the intersection of delivery excellence and intelligent automation. This is a senior leadership role demanding someone who has shipped large-scale technology programmes across industry verticals, built or modernised cloud-native platforms, and is actively driving AI-powered delivery acce…",33.7487,https://www.adzuna.com/land/ad/5812417291?se=-HmatqmG8RGOTokAaHxoXQ&utm_medium=api&utm_source=abfa41a4&v=018AB4946845E782D88BBD75CC05BFDFD761311F,2026-07-23T11:00:17Z,,1,96415.05,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLUhtYXRxbUc4UkdPVG9rQWFIeG9YUSIsImkiOiI1ODEyNDE3MjkxIn0.Uvp780KIlnd2ezIelQYe9FH53GUUQUpGJokk20nRIJQ,-84.3879,5812417291,"AI Engineering Leader || North Carolina or Atlanta, GA (Onsite)",96415.05,Adzuna::API::Response::Company,InfiCare,"Northlake, DeKalb County",Adzuna::API::Response::Location,"['US', 'Georgia', 'DeKalb County', 'Northlake']",it-jobs,Adzuna::API::Response::Category,IT Jobs,
